Token				Lemma 			Part-of-speech				Chunk
				  - 			SENT_START 
та				та 			conj:coord 
							
лишилась			лишитися 		verb:rev:past:f:perf 
задоволена			задоволений 		adj:f:v_naz:compb:&adjp:pasv:past
.				 - 			SENT_END 
				 - 			SENT_START 
Неймовірний			неймовірний 		adj:m:v_naz:compb 
							
східний				східний 		adj:m:v_naz 
							
стиль				стиль 			noun:m:v_naz 
							
та				та 			conj:coord 
							
смачна				смачний 		adj:f:v_naz:compb 
кухня				кухня 			noun:f:v_naz 
.				 - 			SENT_END 
				 - 			SENT_START 
Думаю				думати 			verb:pres:s:1:imperf 
,				 - 			 - 
що				що 			conj:subord 
							
скоро				скоро 			adv:compb 
завітаю				завітати 		verb:futr:s:1:perf 
до				до			prep:rv_rod 
вас				ви 			noun:p:v_rod:anim:&pron:pers:2 
							
							
ще				ще 			adv 
							 
раз				раз 			noun:m:v_naz
							 
							
.				 - 			SENT_END 
							PARA_END 
				 - 			SENT_START 
Чудовий				чудовий 		adj:m:v_naz:compb 
							
ресторан			ресторан 		noun:m:v_naz 
							
!				 - 			SENT_END
				 - 			SENT_START 
Все				все 		 	adj:n:v_naz:&pron:dem
							
							
дуже				дуже 			adv 
							 
вишукано			вишукано 		adv:compb 
,				 - 			 - 
проте				проте 			conj:coord 
							
							
ненав'язливо			ненав'язливо 		adv 
.				 - 			SENT_END 
				 - 			SENT_START 
Приємна				приємний 		adj:f:v_naz:compb 
і				і 			conj:coord 
							 
затишна				затишний 		adj:f:v_naz:compb 
атмосфера			атмосфера 		noun:f:v_naz 
,				 - 			 - 
люб'язний			люб'язний 		adj:m:v_naz:compb 
							
і				і 			conj:coord 
							
завжди				завжди 			adv:&pron:gen 
усміхнений			усміхнений 		adj:m:v_naz:v-u 
							
персонал			персонал 		noun:m:v_naz 
							
та				та 			conj:coord 
							
неймовірно			неймовірно 		adv:compb 
смачна				смачний 		adj:f:v_naz:compb 
кухня				кухня 			noun:f:v_naz 
.				 - 			SENT_END 
				 - 			SENT_START 
Завжди				завжди 			adv:&pron:gen 
прекрасний			прекрасний 		adj:m:v_naz:compb 
							
настрій				настрій 		noun:m:v_naz 
							
,				 - 			 - 
який				який 			adj:m:v_naz:&pron:int:rel:def
							
залишається			залишатися 		verb:rev:pres:s:3:imperf 
після				після 			adv 
							
відвудування		       	- 			 - 
цього				цей 			adj:m:v_rod:&pron:dem 
							
закладу				заклад 			noun:m:v_rod 
							
,				- 			 - 
змушує				змушувати 		verb:pres:s:3:imperf 
повертатись			повертатися 		verb:rev:inf:imperf 
туди				туди 			adv:&pron:dem 
знову				знову			adv 
і				і 			conj:coord 
							
знову				знову 			adv 
!				- 			 - 
!				-			 - 
!				- 			SENT_END 
				- 			SENT_START 
Чудова				чудовий 		adj:f:v_naz:compb 
атмосфера			атмосфера 		noun:f:v_naz 
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
ресторані			ресторан 		noun:m:v_mis 
!				- 			 - 
!				- 			 - 
!				- 			SENT_END 
				- 			SENT_START 
Дуже				дуже 			adv 
							
люблю				любити 			verb:pres:s:1:imperf 
туди				туди 			adv:&pron:dem 
ходити				ходити 			verb:inf:imperf 
з				з 			prep:rv_rod:rv_zna:rv_oru
подругами			подруга 		noun:p:v_oru:anim 
на				на 			prep:rv_zna:rv_mis 
каву				кава 			noun:f:v_zna 
.				- 			SENT_END 
				- 			SENT_START 
Елітний				елітний 		adj:m:v_naz 
							
заклад				заклад 			noun:m:v_naz 
							 
Львова				Львів 			noun:m:v_rod:anim:lname
							
							 
,				- 			 - 
рекомендую			рекомендувати 		verb:pres:s:1:imperf 
							
!				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
Святкували			святкувати 		verb:past:p:imperf 
у				у 			prep:rv_zna:rv_mis:rv_rod:v-u 
вас				ви 			noun:p:v_rod:anim:&pron:pers:2
							
							
день				день 			noun:m:v_zna
							 
народження			народження 		noun:n:v_zna  
							
							
,				- 			 - 
було				бути 			verb:past:n:imperf 
все				все 			adj:n:v_naz:&pron:dem 
							
							
чудово				чудово 			adv:compb 
,				- 			 - 
шашлики				шашлик 			noun:p:v_naz 
							 
бомбезні			- 			 - 
,				- 			 - 
дякуєм				дякувати 		verb:pres:p:1:imperf 
вам				ви 			noun:p:v_dav:anim:&pron:pers:2
за				за 			prep:rv_rod:rv_zna:rv_oru 
хороший				хороший 		adj:m:v_zna:compb 
							
настрій				настрій 		noun:m:v_zna 
							
.				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
Доброго				добрий 			adj:m:v_rod:compb 
							
дня				день 			noun:m:v_rod 
!				- 			 - 
!				- 			SENT_END 
				- 			SENT_START 
Були				бути 			verb:past:p:imperf 
у				у 			prep:rv_zna:rv_mis:rv_rod:v-u 
Вас				ви 			noun:p:v_rod:anim:&pron:pers:2
							
							
вчора				вчора 			adv:v-u 
дуже				дуже 			adv 
						
сподобалось			сподобатися 		verb:rev:past:n:perf 
,				- 			 - 
затишня				- 			 - 
атмосфера			атмосфера 		noun:f:v_naz 
,				- 			 - 
музика				музика 			noun:f:v_naz 
						
шикарна				шикарний 		adj:f:v_naz 
!				- 			 - 
!				- 			 - 
!				- 			 - 
!				- 			 - 
!				- 			 - 
!				- 			 - 
!				- 			 - 
!				- 			 - 
!				- 			SENT_END 
				- 			SENT_START 
Дівчинка			дівчинка 		noun:f:v_naz:anim 
просто				просто 			part  
							
							
молодець			молодець 		noun:m:v_naz:anim 
!				- 			 - 
!				- 			 - 
!				- 			SENT_END 
				- 			SENT_START 
Ціни				ціна			noun:p:v_naz 
							
							
доступні			доступний 		adj:p:v_naz:compb 
							
,				- 			 - 
смачна				смачний 		adj:f:v_naz:compb 
кухня				кухня 			noun:f:v_naz 
.				- 			SENT_END 
				- 			SENT_START 
Постарайтесь			постаратися 		verb:rev:impr:p:2:perf 
швидше				швидкий 		adv:compr  
							
закінчити			закінчити 		verb:inf:perf 
другий				другий 			adj:m:v_zna 
							
поверх				поверх 			noun:m:v_zna 
							
							
.				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
святкували			святкувати 		verb:past:p:imperf 
зустріч				зустріч 		noun:f:v_zna 
							
однокласників			однокласник 		noun:p:v_rod:anim 
							 
вишукані			вишуканий 		adj:p:v_naz:compb:&adjp:pasv:past
							
страви				страва 			noun:p:v_naz 
							
							
,				- 			 - 
Всі				весь 			adj:p:v_naz:&pron:dem 
						 
розказували			розказувати 		verb:past:p:imperf 
що				що 			conj:subord 
							
ціни				ціна 			noun:p:v_naz 
							
							
високі				високий 		adj:p:v_naz:compb 
							
але				але 			conj:coord 
							
стіл				стіл 			noun:m:v_naz 
							 
був				бути 			verb:past:m:imperf 
настільки			настільки 		adv 
багатий				багатий 		adj:m:v_naz:compb 
							
і				і 			conj:coord 
							
получилось			- 			- 
по				по 			prep:rv_mis:rv_zna 
400				400 			number 
.				- 			- 
но				но 			excl 
part 
це				цей 			adj:n:v_naz:&pron:dem 
							
того				той 			adj:m:v_zna:&pron:dem 
							
							
вартувало			вартувати 		erb:past:n:imperf 
,				- 			- 
і				і 			conj:coord 
							
музика				музика 			noun:f:v_naz 
							
,				- 			- 
циганські			циганський 		adj:p:v_naz 
							
танці				танець 			noun:p:v_naz  
							
							
,				- 			- 
народ				народ 			noun:m:v_naz 
							
був				бути 			verb:past:m:imperf 
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
захваті				захват 			noun:m:v_mis 
.				- 			SENT_END 
				- 			SENT_START 
Жаліли				жаліти 			verb:past:p:imperf 
тільки				тільки 			conj:subord 
							
							
одне				один 			numr:n:v_naz 
							
,				- 			- 
що				що 			conj:subord 
							
раніше				раніше 			prep:rv_rod  
							
							
не				не 			part 
приходили			приходити 		verb:past:p:imperf 
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
Султан				султан 			noun:m:v_naz:anim 
палац				палац 			noun:m:v_naz 
							 
.				- 			- 
всім				весь 			adj:p:v_dav:&pron:dem 
							
радимо				радити 			verb:pres:p:1:imperf 
.				- 			- 
наступні			наступний 		adj:p:v_zna 
							
дійства				дійство 		noun:p:v_zna 
							
обов'язково			обов'язково		adv 
будем				бути 			verb:futr:p:1:imperf 
старатися			старатися 		verb:rev:inf:imperf 
прийти				прийти 			verb:inf:perf 
.				- 			 - 
!				- 			 - 
!				- 			SENT_END 
				- 			SENT_START 
Дякую				дякувати 		verb:pres:s:1:imperf 
Вам				ви 			noun:p:v_dav:anim:&pron:pers:2
зайдемо				зайти 			verb:futr:p:1:perf 
ще				ще 			adv 
							 
.				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
Доброго				добрий 			adj:m:v_rod:compb 
							
дня				день 			noun:m:v_rod 
.				- 			SENT_END 
				- 			SENT_START 
Відмічали			відмічати 		verb:past:p:imperf 
у				у 			prep:rv_zna:rv_mis:rv_rod:v-u 
вас				ви 			noun:p:v_rod:anim:&pron:pers:2  
							
							 
день				день 			noun:m:v_naz 
							 
народження			народження 		noun:n:v_naz 
							
29				29 			number 
числа				число 			noun:n:v_rod 
							
,				- 			- 
були				бути 			verb:past:p:imperf 
всі				весь 			adj:p:v_naz:&pron:dem 
							
задоволені			задоволений 		adj:p:v_naz:compb:&adjp:pasv:past
							
.				- 			SENT_END 
				- 			SENT_START 
Стіл				стіл 			noun:m:v_naz 
							
був				бути 			verb:past:m:imperf 
багатим				багатий 		adj:m:v_oru:compb 
							
,				- 			- 
смачні				смачний 		adj:p:v_naz:compb 
							 
холодні				холодний		adj:p:v_naz:compb 
							
страви				страва 			noun:p:v_naz 
							
							
,				- 			- 
цікаві				цікавий 		adj:p:v_naz:compb 
							 
салати				салат 			noun:p:v_naz 
					
,				- 			- 
гарні				гарний 			adj:p:v_naz:compb 
							
подачі				подача 			noun:p:v_naz 
							
							
,				- 			- 
а				а 			conj:coord 
							 
фірмова				фірмовий 		adj:f:v_naz 
страва				страва			noun:f:v_naz 
"				- 			- 
7				7 			number 
гарнюнь				- 			- 
"				- 			- 
просто				просто 			part  
							
							
ШИК				шик 			noun:m:v_naz 
							 
!				- 			SENT_END 
				-		        SENT_START 
Дякуємо				дякувати 		verb:pres:p:1:imperf 
за				за 			prep:rv_rod:rv_zna:rv_oru
все				все 			adj:m:v_zna:&pron
							 
							
.				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
Довго				довго 			adv:compb 
шукали				шукати 			verb:past:p:imperf 
якийсь				якийсь 			adj:m:v_zna:&pron:ind 
							
цікавий				цікавий 		adj:m:v_zna:compb 
							
заклад				заклад 			noun:m:v_zna  
							
для				для 			prep:rv_rod 
святкування			святкування 		noun:n:v_rod  
							
дня				день 			noun:m:v_rod 
народження			народження 		noun:n:v_rod 
							
							
чоловіка			чоловік 		noun:m:v_rod:anim 
							
шоб				- 			- 
було				бути 			verb:past:n:imperf 
зручно				зручно 			adv:compb 
,				- 			- 
весело				весело 			adv:compb 
і				і 			conj:coord 
							
знайшли				знайти 			verb:past:p:perf 
.				- 			SENT_END 
				- 			SENT_START 
Адміністрація			адміністрація 		noun:f:v_naz 
ресторану			ресторан 		noun:m:v_rod  
							
пішла				піти 			verb:past:f:perf 
нам				ми 			noun:p:v_dav:anim:&pron:pers:1
на				на 			prep:rv_zna:rv_mis  
						
зустріч				зустріч 		noun:f:v_zna 
і				і 			conj:coord 
							
скомпонували			скомпонувати 		verb:past:p:perf 
нам				ми 			noun:p:v_dav:anim:&pron:pers:1
стіл				стіл 			noun:m:v_zna 
							
з				з 			prep:rv_rod:rv_zna:rv_oru 
мягкими				- 			- 
диванами			диван 			noun:p:v_oru 
луде				- 			- 
смачно				смачно 			adv:compb 
накрили				накрити 		verb:past:p:perf 
стіл				стіл 			noun:m:v_zna 
							
.				- 			SENT_END 
				-		        SENT_START 
Ми				ми 			noun:p:v_naz:anim:&pron:pers:1
були				бути 			verb:past:p:imperf 
просто				просто 			part 
							
							
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
захваті				захват 			noun:m:v_mis 
.				- 			SENT_END
				-		        SENT_START 
На				на 			prep:rv_zna:rv_mis 
							
настурний			- 			- 
раз				раз 			noun:m:v_zna 
							
для				для 			prep:rv_rod 
святкування			святкування 		noun:n:v_rod  
							
							
якогось				якийсь 			adj:n:v_rod:&pron:ind 
							
такого				такий 			adj:n:v_rod:&pron:def 
							
дійства				дійство 		noun:n:v_rod 
							
на				на 			prep:rv_zna:rv_mis 
велику				великий 		adj:f:v_zna:compb 
компанію			компанія 		noun:f:v_zna 
обов*язково			- 			- 
оберемо				обрати 			verb:futr:p:1:perf 
Ваш				ваш 			adj:m:v_zna:&pron:pos
							
заклад				заклад 			noun:m:v_zna 
							
...				- 			- 
.				- 			- 
.				- 			SENT_END 
				- 			SENT_START 
Тримайтесь			триматися 		verb:rev:impr:p:2:imperf
.				- 			SENT_END 
 							PARA_END
				-		        SENT_START 
Святкувала			святкувати 		verb:past:f:imperf 
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
вас				ви 			noun:p:v_rod:anim:&pron:pers:2
							
							
своє				свій 			adj:n:v_zna:&pron:pos  
							
день				день 			noun:m:v_zna  
							
народження			народження 		noun:n:v_zna 
							
							
.				- 			SENT_END 
				- 			SENT_START 
Все				все 			adj:n:v_naz:&pron:dem
							
							
було				бути 			verb:past:n:imperf 
чудово				чудово 			adv:compb 
,				- 			- 
страви				страва 			noun:p:v_naz 
							
							 
були				бути 			verb:past:p:imperf 
всі				весь 			adj:p:v_naz:&pron:dem
							
дуже				дуже 			adv 
						
смачні				смачний 		adj:p:v_naz:compb 
							
,				- 			- 
приємно				приємно 		adv:compb 
здивувував			- 			- 
персонал			персонал 		noun:m:v_naz 
							
подарувавши			подарувати 		advp:perf 
тортик				- 			- 
.				- 			SENT_END 
				- 			SENT_START 
Рекомендую			рекомендувати 		verb:pres:s:1:imperf 
							
ваш				ваш 			adj:m:v_naz:&pron:pos 
							adj:m:v_zna:&pron:pos 
заклад				заклад 			noun:m:v_naz 
							noun:m:v_zna 
тепер				тепер 			adv:&pron:dem 
своїм				свій 			adj:p:v_dav:&pron:pos 
							
знайомим			знайомий 		noun:m:v_dav:anim 
							
							
							
)				- 			- 	
Скоро				скоро 			adv:compb 
завітаєм			завітати 		verb:futr:p:1:perf 
до				до 			prep:rv_rod 
вас				ви 			noun:p:v_rod:anim:&pron:pers:2
							
							
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
гості				гостя 			noun:p:v_naz:anim 
							 
							
знову				знову 			adv 
)				-			SENT_END 
				- 			PARA_END 
				- 			SENT_START 
Святкували			святкувати 		verb:past:p:imperf 
хрестини			хрестини 		noun:p:v_zna 
							
своєї				свій 			adj:f:v_rod:&pron:pos 
донечки				донечка 		noun:f:v_rod:anim 
							
.				- 			SENT_END 
				- 			SENT_START 
Чудовий				чудовий 		adj:m:v_naz:compb 
							
ресторан			ресторан 		noun:m:v_naz 
							
.				- 			SENT_END
				- 			SENT_START 
Дуже				дуже 			adv 
							
смачна				смачний 		adj:f:v_naz:compb 
кухня				кухня 			noun:f:v_naz 
(				- 			- 
тут				тут 			adv:&pron:dem 
навіть				навіть 			part 
голубці				голубець 		noun:p:v_naz 
							
							
незвичайні			незвичайний 		adj:p:v_naz 
							 
)				- 			- 
.				- 			SENT_END 
				- 			SENT_START 
Прекрасно			прекрасно 		adv:compb 
все				все 			adj:n:v_naz:&pron:dem
							
організовано			організувати		verb:impers:perf  
							
.				- 			SENT_END 
				- 			SENT_START 
Приємний			приємний 		adj:m:v_naz:compb 
							
персонал			персонал 		noun:m:v_naz 
							
.				- 			SENT_END 
				- 			SENT_START 
Обов'язково			обов'язково 		adv 
прийдемо			прийти 			verb:futr:p:1:perf 
сюди				сюди 			adv:&pron:dem 
ще				ще 			adv 
							
не				не 			part 
один				один 			numr:m:v_naz 
							 
раз				раз 			noun:m:v_naz 
							
							 
.				- 			SENT_END
 							PARA_END
				- 			SENT_START 
справжня			справжній 		adj:f:v_naz 
східна				східний 		adj:f:v_naz 
атмосфера			атмосфера 		noun:f:v_naz 
,				- 			- 
дуже				дуже 			adv 
							
сподобалось			сподобатися 		verb:rev:past:n:perf 
як				як 			adv:&pron:int:rel 
							
хлопці				хлопець 		noun:p:v_naz:anim 
							
танцювали			танцювати 		verb:past:p:imperf 
лесгінку			- 			- 
,				- 			- 
шашлик				шашлик 			noun:m:v_naz 
							
з				з 			prep:rv_rod:rv_zna:rv_oru
баранини			баранина 		noun:f:v_rod 
-				- 			- 
бомба				бомба 			noun:f:v_naz 
.				- 			- 
рекомендую			рекомендувати 		verb:pres:s:1:imperf 	
							
!				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
Заклад				заклад 			noun:m:v_naz 
							
вартий				вартий 			adj:m:v_naz 
							
уваги				увага 			noun:f:v_rod 
,				- 			- 
якщо				якщо 			conj:subord 
ви				ви 			noun:p:v_naz:anim:&pron:pers:2
							
плануєте			планувати 		verb:pres:p:2:imperf 
весілля				весілля 		noun:n:v_zna  
							
							 
чи				чи 			conj:coord:subord 
							
інше				інший 			adj:n:v_zna:&pron:def 
							
святкування			святкування 		noun:n:v_zna  
							
							
...				- 			SENT_END 
				- 			SENT_START 
Приємний			приємний 		adj:m:v_naz:compb 
							 
персонал			персонал 		noun:m:v_naz 
							 
й				й 			conj:coord 
							 
смачна				смачний 		adj:f:v_naz:compb 
кухня				кухня 			noun:f:v_naz 
.				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
				- 			SENT_START 
Вже				вже 			adv:v-u 
скільки				скільки 		numr:p:v_naz:&pron:ind 
							 
разів				раз 			noun:p:v_rod 
до				до 			prep:rv_rod 
вас				ви 			noun:p:v_rod:anim:&pron:pers:2
							
							
приходимо			приходити 		verb:pres:p:1:imperf 
,				- 			- 
а				а 			conj:coord 
							
нам				ми 			noun:p:v_dav:anim:&pron:pers:1
подобається			подобатися 		verb:rev:pres:s:3:imperf 
все				все 			adj:n:v_naz:&pron:dem 
							
							
більше				багато 			adv:compr 
							
і				і 			conj:coord 
							 
більше				багато 			adv:compr 
						
.				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
Відвідали			відвідати 		verb:past:p:perf 
сьогодні			сьогодні 		adv 
"				- 			- 
Сову				сова 			noun:f:v_zna:anim 
"				- 			- 
.				- 			SENT_END 
				- 			SENT_START 
Враження			враження 		noun:n:v_naz 
							
не				не 			part 
справила			справити 		verb:past:f:perf 
.				- 			SENT_END 
				- 			SENT_START 
Брали				брати 			verb:past:p:imperf 
гофри				- 			- 
з				з 			prep:rv_rod:rv_zna:rv_oru
лососем				лосось 			noun:m:v_oru:anim 
і				і 			conj:coord 
							
з				з 			prep:rv_rod:rv_zna:rv_oru
салатом				салат 			noun:m:v_oru 
мікс				мікс 			noun:m:v_naz 
							
та				та 			conj:coord 
							 
сиром				сир 			noun:m:v_oru 
.				- 			SENT_END 
				- 			SENT_START 
З				з 			prep:rv_rod:rv_zna:rv_oru
сиром				сир 			noun:m:v_oru 
ще				ще 			adv 
							 
нічо				- 			- 
така				такий 			adj:f:v_naz:&pron:def 
.				- 			SENT_END 
				- 			SENT_START 
З				з 			prep:rv_rod:rv_zna:rv_oru
лососем				лосось 			noun:m:v_oru:anim 
ніяка				ніякий 			adj:f:v_naz:&pron:neg 
(				- 			- 
суха				сухий 			adj:f:v_naz:compb 
і				і 			conj:coord 
							 
якось				якось 			adv:&pron:ind 
та				та 			conj:coord 
							
помідорка			- 			- 
черрі				- 			- 
з				з 			prep:rv_rod:rv_zna:rv_oru
пару				пара 			noun:m:v_oru 
							
кусочками			кусочок 		noun:p:v_oru 
лосося				лосось 			noun:m:v_rod:anim 
							
на				на 			prep:rv_zna:rv_mis 
							
							
вафлі				вафля 			noun:f:v_mis  
							
							
виглядали			виглядати 		verb:past:p:imperf 
не				не			part 
ситно				ситно 			adv:compb 
)				- 			- 
.				- 			SENT_END 
				- 			SENT_START 
Офіціантка			офіціантка 		noun:f:v_naz:anim 
дивна				дивний 			adj:f:v_naz:compb 
,				- 			- 
прям				- 			- 
блаженна			блаженний 		adj:f:v_naz 
...				- 			SENT_END 
				- 			SENT_START 
Обслуговування			обслуговування 		noun:n:v_naz 
							 
повільне			повільний 		adj:n:v_naz:compb 
							
.				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
ми				ми 			noun:p:v_naz:anim:&pron:pers:1
з				з 			prep:rv_rod:rv_zna:rv_oru 
колегами			колега 			noun:p:v_oru:anim 
ходили				ходити 			verb:past:p:imperf 
туди				туди 			adv:&pron:dem 
їсти				їсти 			verb:inf:imperf 
-				- 			- 
я				я 			noun:s:v_naz:anim:&pron:pers:1
їла				їсти 			verb:past:f:imperf 
гофру				гофр 			noun:m:v_mis  
							
з				з 			prep:rv_rod:rv_zna:rv_oru 
лососем				лосось 			noun:m:v_oru:anim 
і				і 			conj:coord 
							 
чері				- 			- 
,				- 			- 
дівчата				дівча 			noun:p:v_naz:anim 
							
-				- 			- 
з				з 			prep:rv_rod:rv_zna:rv_oru 
куркою				курка 			noun:f:v_oru:anim 
і				і 			conj:coord 
							 
овочами				овоч 			noun:p:v_oru 
та				та 			conj:coord 
							
з				з 			prep:rv_rod:rv_zna:rv_oru 
грибами				гриб 			noun:p:v_oru 
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
соусі				соус 			noun:m:v_mis 
.				- 			SENT_END 
				- 			SENT_START 
Всі				весь 			adj:p:v_naz:&pron:dem 
							a
казали				казати 			verb:past:p:imperf 
,				- 			- 
що				що 			conj:subord 
							
їм				вони 			noun:p:v_dav:&pron:pers:3  
							
смакує				смакувати 		verb:pres:s:3:imperf 
,				- 			- 
я				я 			noun:s:v_naz:anim:&pron:pers:1 
теж				теж 			adv 
							 
на				на 			prep:rv_zna:rv_mis 
свою				свій 			adj:f:v_zna:&pron:pos 
порцію				порція 			noun:f:v_zna 
не				не 			part 
можу				могти 			verb:unknown 
жалітись			жалітися 		verb:rev:inf:imperf 
-				-			- 
лосось				лосось 			noun:m:v_naz:anim 
був				бути 			verb:past:m:imperf 
солений				солений 		adjp:pasv:past:m:v_naz 
							
,				- 			- 
порізаний			порізаний 		adjp:pasv:past:m:v_naz 
							
кусочками			кусочок 		noun:p:v_oru 
розміром			розмір 			noun:m:v_oru 
з				з 			prep:rv_rod:rv_zna:rv_oru 
чері				- 			- 
-				- 			- 
відразу				відразу 		adv 
							 
навіть				навіть 			part 
не				не 			part 
розібрала			розібрати 		verb:past:f:perf 
,				- 			- 
де				де 			adv:&pron:int:rel 
							 
він				він 			noun:m:v_naz:&pron:pers:3 
,				- 			- 
думала				думати 			verb:past:f:imperf 
-				- 			- 
все				все 			adj:n:v_naz:&pron:dem  
							
							
помідори			помідор 		noun:p:v_naz 
							 
)				- 			- 	
)				- 			- 
Але				але 			conj:coord 
							
риби				риба 			noun:f:v_rod:anim 
							
було				бути 			verb:past:n:imperf 
досить				досить 			predic 
							
,				- 			- 
без				без 			prep:rv_rod 
кісточок			кісточка 		noun:p:v_rod 
,				- 			- 
смачна				смачний 		adj:f:v_naz:compb 
.				- 			SENT_END 
				- 			SENT_START 
От				от 			part 
зараз				зараз 			adv:&pron:dem 
							
пишу				писати 			verb:pres:s:1:imperf 
і				і 			conj:coord 
							 
думаю				думати 			verb:pres:s:1:imperf 
,				- 			- 
що				що 			conj:subord 
							
зараз				зараз 			adv:&pron:dem 
							
би				би 			part 
таке				такий 			adj:n:v_zna:&pron:def 
							
з*їла				- 			- 
)				- 			- 
Єдине				єдиний 			adj:n:v_naz 
							
,				- 			- 
що				що 			conj:subord 
							
мені				я			noun:s:v_dav:anim:&pron:pers:1 
							 
не				не 			part 
сподобалось			сподобатися 		verb:rev:past:n:perf 
,				- 			- 
що				що 			conj:subord 
							
всі				весь 			adj:p:v_naz:&pron:dem 
						 
соуси				соус 			noun:p:v_naz 
							 
,				- 			- 
якими				який 			adj:p:v_oru:&pron:int:rel:def 
