Token	  Lemma	   Part-of-speech	
борошна	    борошно      noun:n:v_rod 
(	           -            - 
макаронні    макаронний   adj:p:v_naz 
вироби	     виробити     noun:p:v_naz 
,	           -            - 
а	         а        conj:coord 
також	     також        adv  
страви	     страва       noun:p:v_naz 
з	         з        prep:rv_rod:rv_zna:rv_oru 
тіста	     тісто        noun:n:v_rod 
)	          -               - 
,	          -               - 
але	         але         conj:coord 
піцца	          -               - 
займає	     займати     verb:pres:s:3:imperf 
почесне	     почесний    adj:n:v_zna:compb 
місце	     місце       noun:n:v_zna 
в	       в         prep:rv_zna:rv_mis:rv_rod:v-u 
розмаїтті   розмаїття    noun:n:v_mis 
смачних	     смачний     adj:p:v_rod:compb 
страв	     страва      noun:p:v_rod 
.	            -         SENT_END 
                    -         SENT_START 
Так	      так         part 
от	      от          part 
,	       -           - 
прийшли	  прийти      verb:past:p:perf 
ми	  ми          noun:p:v_naz:anim:&pron:pers:1
з         з           prep:rv_rod:rv_zna:rv_oru 
подругами подруга     noun:p:v_oru:anim 
до	  до          prep:rv_rod 
закладу	  заклад      noun:m:v_rod  
щоб	  щоб         conj:subord 
спробувати спробувати verb:inf:perf 
піццу	   -           - 
,	   -           - 
та	      та          conj:coord 
провести  провести    verb:inf:perf 
експеримент	експеримент noun:m:v_zna 
:	       -            - 
"	       -            - 
Чи       чи          part 
піцца	   -            - 
у	 у           prep:rv_zna:rv_mis:rv_rod:v-u 
Львові  Львов        noun:m:v_mis:anim:lname 
,	       -            - 
буде    бути         verb:futr:s:3:imperf 
ж       ж            part 
такою  такий         adj:f:v_oru:&pron:def 
смачною	смачний      adj:f:v_oru:compb 
як      як           adv:&pron:int:rel 
і       і            conj:coord 
в       в            prep:rv_zna:rv_mis:rv_rod:v-u 
італіії	    -               - 
?	    -               - 
"	    -               - 
.	    -             SENT_END 
            -             SENT_START 
Ми	      ми          noun:p:v_naz:anim:&pron:pers:1
зупинили  зупинити    verb:past:p:perf 
свій	  свій        adj:m:v_zna:&pron:pos 
вибір	  вибір       noun:m:v_zna 
на	      на          part 
піцці	     -                - 
«	     -                - 
Маргарита Маргарита   noun:f:v_naz:anim:fname 
»	         -            - 
з	       з          prep:rv_rod:rv_zna:rv_oru 
білим	   білий      adj:m:v_oru:compb 
сиром	   сир        noun:m:v_oru 
моццарелла	 -            - 
,	         -            - 
томатами  томат        noun:p:v_oru 
і	      і            conj:coord 
базиліком базилік      noun:m:v_oru 
(	         -            - 
я	      я            noun:s:v_naz:anim:&pron:pers:1
знову	  знову        adv 
відчула	  відчути      verb:past:f:perf 
той	      той          adj:m:v_zna:&pron:dem 
приємний  приємний     adj:m:v_zna:compb 
аромат	  аромат       noun:m:v_zna 
духмяного духмяний     adj:m:v_rod 
базиліку  базилік      noun:f:v_zna 
,	        -              - 
і	      і            conj:coord 
ніжної	  ніжний       adj:f:v_rod:compb 
маццарели	 -             - 
.	         -             - 
.	         -             - 
)	         -             - 
.	         -          SENT_END 
                 -          SENT_START 
Доки	 доки        adv:&pron:int:rel 
ми	     ми          noun:p:v_naz:anim:&pron:pers:1
чекали	 чекати      verb:past:p:imperf 
на	     на          part  
замовлення замовлення  noun:n:v_zna 
,	        -              - 
то	     то         conj:subord 
спостерігали спостерігати  verb:past:p:imperf 
вражаючу вражаючий  adjp:actv:pres:f:v_zna:bad 
картину	 картина    noun:f:v_zna 
,	        -              - 
як	     як         adv:&pron:int:rel  
піц-майстри	-              - 
віртуозно віртуозно adv 
,	        -              - 
немов	 немов      conj:subord 
жонглери жонглер    noun:p:v_naz:anim 
,	        -              - 
крутили	 крутити    verb:past:p:imperf 
,	        -              - 
підкидували	-              - 
,	        -              - 
і   	 і          conj:coord 
розкочували	розкочувати verb:past:p:imperf 
тісто	тісто       noun:n:v_zna 
.	        -    SENT_END 
                -    SENT_START 
Яскравого яскравий adj:m:v_rod:compb 
та	      та       conj:coord 
незабутнього незабутній adj:m:v_rod  
настрою	  настроїти  noun:m:v_rod 
надавали  надавати   verb:past:p:imperf 
самі	  сам        adj:p:v_naz:&pron:def
майстри	  майстер    noun:p:v_naz:anim
:	       -            - 
всі	      весь       adj:p:v_naz:&pron:dem
хлопці	  хлопець    noun:p:v_naz:anim 
,	       -            - 
дуже	  дуже       adv 
симпатичні симпатичний adj:p:v_naz:compb 
(	       -            - 
ну	      ну         part 
дууже	       -            - 
,	       -            - 
була	  булий      verb:past:f:imperf 
б	      б          part 
моло	  -             SENT_END 
                        PARA_END 
             -          SENT_START 
Добра	 добрий    adj:f:v_naz:compb 
піца	 піца      noun:f:v_naz 
,	      -             - 
хороший	 хороший   adj:m:v_naz:compb  
літній	 літній    adj:m:v_naz 
майданчик майданчик noun:m:v_naz 
і	     і         conj:coord 
перше	 перший    adj:n:v_naz 
у	     у         prep:rv_zna:rv_mis:rv_rod:v-u 
Львові	 Львов     noun:m:v_mis:anim:lname 
нестандартне нестандартний adj:n:v_naz 
Челентано Челентано noun:m:v_naz:nv:np:anim:lname
)	       -      SENT_END 
                      PARA_END 
              -       SENT_START 
В	      в        prep:rv_zna:rv_mis:rv_rod:v-u 
ресторані ресторан noun:m:v_mis  
добрі	  добрий   adj:p:v_naz:compb  
тонкі	  тонкий   adj:p:v_naz:compb  
піци	  піца     noun:p:v_naz 
.	        -      SENT_END 
                -      SENT_START 
Смачні	 смачний  adj:p:v_naz:compb 
і	     і        conj:coord 
запашні	 запашний adj:p:v_naz:compb 
)	        -     SENT_END 
                      PARA_END 
                -     SENT_START 
Дуже	 дуже     adv  
смачна	 смачний  adj:f:v_naz:compb 
піца	 піца     noun:f:v_naz 
,	      -           - 
привітний привітний adj:m:v_naz:compb 
та	     та       conj:coord 
професійний	 професійний adj:m:v_naz:compb 
персонал	 персонал noun:m:v_naz 
.	      -    SENT_END 
              -    SENT_START 
Проте	 проте   conj:coord 
завжди	 завжди  adv:&pron:gen 
дуже	 дуже    adv  
багато	 багато  adv 
людей	 люди    noun:p:v_rod:anim  
,	       -        - 
тому	 тому    conj:subord 
на	     на      part  
столик	 столик  noun:m:v_zna 
доведеться довестися verb:rev:futr:s:3:perf 
чекати	 чекати  verb:inf:imperf 
.	       -    SENT_END 
                    PARA_END 
               -    SENT_START 
Обслуговування обслуговування noun:n:v_naz  
погане	 поганий  adj:n:v_naz:compb  
,	        -         - 
на	     на     prep:rv_zna:rv_mis  
жаль	 жаль   noun:m:v_naz  
персонал персонал noun:m:v_naz 
не	     не     part 
вміє	 вміти  verb:pres:s:3:imperf:v-u 
і	     і      conj:coord 
не	     не     part 
хочу	 хотіти verb:pres:s:1:imperf 
спілкуватись спілкуватися verb:rev:inf:imperf 
з	     з      prep:rv_rod:rv_zna:rv_oru
клієнтами клієнт noun:p:v_oru:anim 
.	       -    SENT_END 
                    PARA_END 
               -    SENT_START 
хотіли	  хотіти  verb:past:p:imperf 
замовити  замовити verb:inf:perf 
бізнес	  бізнес   noun:m:v_zna 
ланч	  ланч     noun:m:v_zna:bad 
в	  в        prep:rv_zna:rv_mis:rv_rod:v-u 
неділю	  неділя   noun:f:v_zna 
.	      -         - 
нічого	  нічого   adv 
не	      не   part 
вийшло	  вийти    verb:past:n:perf:perf 
.	       -        - 
зробіть	  зробити  verb:impr:p:2:perf 
,	       -        - 
будь	  бути     verb:impr:s:2:imperf 
ласка	  ласка    noun:f:v_naz 
,	       -        - 
їх	  вони     noun:p:v_rod:&pron:pers:3 
на	  на       part 
щодень	  щодень   adv 
.	      -        - 
грецький  грецький adj:m:v_naz 
почав	 почати    verb:past:m:perf 
часто	 часто     adv:compb 
закінчуватись закінчуватися verb:rev:inf:imperf 
:	      -          - 
(	      -     SENT_END 
                    PARA_END 
              -     SENT_START 
В	      в    prep:rv_zna:rv_mis:rv_rod:v-u 
цілому	  цілий    adj:n:v_mis 
задоволений задоволений adj:m:v_naz:compb:&adjp:pasv:past
якістю	  якість   noun:f:v_oru 
страв	  страва   noun:p:v_rod 
.	       -   SENT_END 
               -   SENT_START 
Піца	 піца      noun:f:v_naz 
навіть	 навіть    part 
краще	 хороший   adj:n:v_naz:compr  
,	       -         - 
за	 за        prep:rv_rod:rv_zna:rv_oru
аналоги	 аналог    noun:p:v_zna 
з	 з         prep:rv_rod:rv_zna:rv_oru
більш	 багато    adv:compr 
дорогих	 дорогий   adj:p:v_rod:compb  
ресторанів ресторан noun:p:v_rod 
.	       -   SENT_END 
               -   SENT_START 
Але	  але       conj:coord 
є	  бути      verb:pres:s::imperf 
велика	  великий   adj:f:v_naz:compb 
проблема  проблема  noun:f:v_naz 
:	       -          - 
неможливо неможливо adv 
при	  при       prep:rv_mis 
замовленні замовлення noun:n:v_mis 
страв	  страва    noun:p:v_rod 
начисляти	 -        - 
бонуси	 бонус      noun:p:v_zna 
на       на         prep:rv_zna:rv_mis 
картку	 картка     noun:f:v_zna 
лояльності лояльність noun:f:v_rod 
мережі	 мережа     noun:f:v_rod 
\	      -             - 
"	      -             - 
ЕгоЇсти	      -             - 
\	      -             - 
"	      -             - 
,	      -             - 
як	  як          part 
і	  і           conj:coord 
неможливо  неможливо  adv 
по	  по          prep:rv_mis:rv_zna 
цій	  цей         aadj:f:v_dav:&pron:dem
картці	  картка      noun:f:v_dav 
отримати  отримати    verb:inf:perf 
знижку	  знижка      noun:f:v_zna 
.	       -      SENT_END 
               -      SENT_START 
Мені	 Мені         noun:s:v_dav:anim:&pron:pers:1
наразі	 наразі      adv 
доводиться доводитися verb:rev:pres:s:3:imperf 
часто	 часто       adv:compb 
і	     і           conj:coord 
багато	 багато      adv  
замовляти замовляти  verb:inf:imperf 
саме	 саме        adv  
додому	 додому      adv 
,	       -          - 
і	 і           conj:coord 
тому	 тому        conj:subord 
це	 цей         adj:n:v_naz:&pron:dem 
дуже	 дуже        adj:n:v_naz:compb 
серйозний  серйозний adj:m:v_naz:compb 
мінус	 мінус       noun:m:v_naz 
і        і           conj:coord 
велика	 великий     adj:f:v_naz:compb 
втрата	 втрата      noun:f:v_naz:v-u 
у	 у           prep:rv_zna:rv_mis:rv_rod:v-u 
бонусах	 бонус       noun:p:v_mis 
і        і           conj:coord 
незекономлених	 -       - 
коштах	 кошт        noun:p:v_mis 
у	 у           prep:rv_zna:rv_mis:rv_rod:v-u 
перспективі перспектива noun:f:v_dav 
.	     -       SENT_END 
             -       SENT_START 
Прошу	  просити    verb:pres:s:1:imperf 
передбачити передбачити verb:inf:perf 
можливість  можливість  noun:f:v_zna 
користування користування noun:n:v_zna 
карткою	  картка     noun:f:v_oru 
\	      -            - 
"	      -            - 
ЕгоЇсти	  -            - 
\	      -            - 
"	      -            - 
у	  у          prep:rv_zna:rv_mis:rv_rod:v-u 
майбутньому  майбутній adj:n:v_dav 
.	      -      SENT_END 
                     PARA_END 
              -      SENT_START 
Новий	  новий     adj:m:v_naz:compb 
ресторан  ресторан  noun:m:v_naz 
Челентано Челентано noun:m:v_naz:nv:np:anim:lname
,	      -            - 
або    	 або        conj:coord 
найгірша поганий    adj:f:v_naz:super 
піца	 піца       noun:f:v_naz 
у	 у          prep:rv_zna:rv_mis:rv_rod:v-u 
Львові	 Львов      noun:m:v_mis:anim:lname 
!	     -             - 
!	     -             - 
!	     -      SENT_END 
             -      SENT_START 
На	  на       part 
новий	  новий    adj:m:v_naz:compb  
ресторан  ресторан noun:m:v_zna 
покладали покладати verb:past:p:imperf 
великі	  великий  adj:p:v_zna:compb 
надії	  надія    noun:p:v_zna 
,	      -           - 
які       який     adj:p:v_naz:&pron:int:rel:def
стали	  стати    verb:past:p:perf 
великим	  великий  adj:m:v_oru:compb  
розчаруванням розчарування noun:n:v_oru 
!	      -           - 
!	      -           - 
!	      -         SENT_END 
              -         SENT_START 
Обслуговування	обслуговування noun:n:v_naz 
жахливе	  жахливий  adj:n:v_naz:compb 
:	      -           - 
після	  після     prep:rv_rod 
15	      15        number 
хв	      хв        noun:p:v_rod:nv:abbr 
очікування очікування noun:n:v_rod 
,	      -          - 
довелось  довестися verb:rev:past:n:perf 
самій	  сам       adj:f:v_dav:&pron:def  
кликати	 кликати    verb:inf:imperf 
офіціанта офіціант  noun:m:v_rod:anim 
і	  і         conj:coord 
люб'язно  люб'язно  adv:compb 
попросити попросити verb:inf:perf 
меню	  меню      noun:n:v_zna:nv  
,	      -          - 
після	  після     prep:rv_rod 
чого	  що        noun:n:v_rod:inanim:&pron:int:rel
довго	  довго     adv:compb 
очікувати очікувати verb:inf:imperf 
коли	  коли      conj:subord  
прийдуть  прийти    verb:futr:p:3:perf 
за	  за        prep:rv_rod:rv_zna:rv_oru 
замовленням	замовлення noun:n:v_oru 
.	       -           SENT_END 
               -           SENT_START 
Після	  після    adv 
чого	  що       noun:n:v_rod:inanim:&pron:int:rel
хвилин	  хвилина  noun:p:v_rod 
40	  40       number 
чекати	  чекати   verb:inf:imperf 
на	  на       part  
це	  цей      adj:n:v_zna:&pron:dem 
замовлення замовлення noun:n:v_zna 
...	      -         - 
так	  так      adv:&pron:dem  
,	      -         - 
так	  так      adv:&pron:dem 
Латте	  -         - 
принесли  принести verb:past:p:perf 
тільки	  тільки   adv 
через	  через    prep:rv_zna 
40        40       number 
хв	  хв       noun:p:v_rod:nv:abbr   
!         -        SENT_END 
          -        SENT_START 
Потім	  потім   adv:&pron:dem 
довге	  довгий  adj:n:v_naz:compb 
очікування очікування noun:n:v_naz 
на	  на      prep:rv_zna:rv_mis 
піцу	  піца    noun:f:v_zna 
,	      -         - 
яка	  як      adj:f:v_naz:&pron:int:rel:def
була	  булий   verb:past:f:imperf 
схожа	  схожий  adj:f:v_naz 
на	  на      part  
сухарик	  сухарик noun:m:v_zna  
суха	  сухий   adj:f:v_naz:compb 
,	      -         -
тверда	 твердий  adj:f:v_naz:compb 
,	      -         - 
підгоріла підгорілий adjp:actv:past:f:v_naz 
і	    і        conj:coord  
з	    з        prep:rv_rod:rv_zna:rv_oru 
мінімальною  мінімальний adj:f:v_oru 
начинкою начинка noun:f:v_oru 
.	      -  SENT_END 
              -  SENT_START 
Це	      цей    adj:n:v_naz:&pron:dem 
беззаперечно беззаперечно adv 
найгірша      поганий adj:f:v_naz:super 
піца	      піца    noun:f:v_naz 
у	      у      prep:rv_zna:rv_mis:rv_rod:v-u 
Львові	      Львов  noun:m:v_mis:anim:lname 
,	     -       - 
яку	     як     adj:f:v_zna:&pron:int:rel:def 
я	     я      noun:s:v_naz:anim:&pron:pers:1
коли	     коли   сonj:subord 
не	     не     part 
будь	     бути   verb:impr:s:2:imperf 
їла	     їсти   verb:past:f:imperf 
!	      -      - 
!	      -      - 
!	      -      - 
і	     і      conj:coord 
це	     цей    adj:n:v_naz:&pron:dem  
не	     не     part 
до	     до     prep:rv_rod 
порівняння   порівняння noun:n:v_rod 
з	     з      prep:rv_rod:rv_zna:rv_oru 
піцою	     піца   noun:f:v_oru 
,	     -      - 
яку	     як    adj:f:v_zna:&pron:int:rel:def 
подають	  подавати verb:pres:p:3:imperf  
у	     у     prep:rv_zna:rv_mis:rv_rod:v-u 
Челентано Челентано noun:m:v_zna:nv:np:anim:lname
на	     на    prep:rv_zna:rv_mis 
площі	     площа noun:f:v_mis 
ринок	     ринок noun:m:v_zna 
.	      -    SENT_END 
              -    SENT_START 
Стосовно  стосовно   adv 
літнього  літній     adj:m:v_rod 
майданчику майданчик noun:m:v_rod 
коротко	   коротко   adv:compb 
дикий	   дикий     adj:m:v_naz:compb 
протяг	   протяг    noun:m:v_naz 
!	         -   SENT_END 
                 -   SENT_START 
Висновок   висновок  noun:m:v_naz 
один	   один      numr:m:v_naz 
не	   не        part 
ходіть	   ходити    verb:impr:p:2:imperf 
туди	   туди      adv:&pron:dem 
.	       -     SENT_END 
                     PARA_END 
               -     SENT_START 
Була	 булий      verb:past:f:imperf 
у        у          prep:rv_zna:rv_mis:rv_rod:v-u 
піцерії	 піцерія    noun:f:v_zna 
"	     -           - 
Челентано Челентано noun:m:v_zna:nv:np:anim:lname
"	     -           - 
біля	 біля       adv 
Оперного оперний    adj:m:v_rod 
.	      -     SENT_END 
              -     SENT_START 
Піца	  піца      noun:f:v_ 
смачна	  смачний   adj:f:v_naz:compb 
,	       -          - 
а	  а         conj:coord 
обслуговування	 обслуговування noun:n:v_naz 
на        на        prep:rv_zna:rv_mis 
касі	  каса      noun:f:v_mis
жахливе	  жахливий  adj:n:v_naz:compb 
.	       -    SENT_END 
               -    SENT_START 
Касирка-хамка касирка-хамка noun:f:v_naz:anim 
і	      і        conj:coord 
неврастенічка неврастенічка noun:f:v_naz:anim 
!	       -    SENT_END 
               -    SENT_START 
Не	      не      part 
вміє	      вміти   verb:pres:s:3:imperf:v-u 
спокійно      спокійно adv:compb 
пояснити      пояснити verb:inf:perf 
відвідувачам  відвідувач noun:p:v_dav:anim 
,	       -          - 
як	       як     adv:&pron:int:rel 
замовляти   замовляти verb:inf:imperf 
піцу	    піца      noun:f:v_zna 
.	       -      SENT_END 
               -      SENT_START 
Власники   власник   noun:p:v_kly:anim 
"	        -           - 
Челентано  Челентано noun:m:v_rod:nv:np:anim:lname
"	        -           - 
!	        -           - 
!	        -           - 
!	        -       SENT_END 
                -       SENT_START 
Перегляньте	 переглянути   verb:impr:p:2:perf 
свої	         свій          adj:p:v_zna:&pron:pos
критерії         критерій      noun:p:v_zna 
по	         по            prep:rv_mis:rv_zna 
відбору	         відбір        noun:m:v_dav 
персоналу        персонал      noun:m:v_rod 
!	       -            - 
!	       -            - 
!	       -        SENT_END 
                        PARA_END 
               -        SENT_START 
Доброго	      добрий   adj:m:v_rod:compb  
дня	      день     noun:m:v_rod 
!	        -      SENT_END 
                -      SENT_START 
Плануємо  планувати   verb:pres:p:1:imperf 
завтра	  завтра      adv 
відвідати відвідати   verb:inf:perf 
Ваш	      ваш     adj:m:v_zna:&pron:pos
заклад	 заклад      noun:m:v_zna 
,	       -             - 
великою	 великий    adj:f:v_oru:compb 
компанією компанія  noun:f:v_oru 
дітей	 діти       noun:p:v_rod:anim 
.	       -    SENT_END 
               -    SENT_START 
Приїжджаємо приїжджати verb:pres:p:1:imperf 
здалеку	    здалеку    adv 
.	       -      SENT_END 
               -      SENT_START 
Тому	     тому    conj:subord  
хочу	     хотіти  verb:pres:s:1:imperf 
забронювати забронювати verb:inf:perf 
столик	 столик      noun:m:v_zna 
та	    та       conj:coord 
зробити	    зробити  verb:inf:perf 
попереднє попередній adj:n:v_zna 
замовлення  замовлення noun:n:v_zna  
,	       -            - 
щоб	     щоб      conj:subord 
по	     по       prep:rv_mis:rv_zna 
місцю	     місце    noun:n:v_dav 
довго	    довго    adv:compb 
не	     не       part 
чекати	     чекати   verb:inf:imperf 
.	      -       SENT_END 
              -       SENT_START 
Дайте	  дати   verb:impr:p:2:perf 
будь	  бути   verb:impr:s:2:imperf 
ласка	  ласка  noun:f:v_naz 
,	        -       - 
номер	  номер  noun:m:v_zna 
мобільного мобільний adj:m:v_rod:compb 
,	        -       - 
а	      а      conj:coord 
то	      то     conj:subord 
на	      на     part  
стаціонарний стаціонарний adj:m:v_zna 
не	      не     part 
можу	  могти      verb:unknown 
подзвонити подзвонити verb:inf:perf 
.	       -    SENT_END 
               -    SENT_START 
Буду	  буду      verb:futr:s:1:imperf 
вдячна	  вдячний   adj:f:v_naz 
за	    за      prep:rv_rod:rv_zna:rv_oru
оперативність	 оперативність noun:f:v_zna 
!	       -         - 
!	       -         - 
!	       -         SENT_END 
                         PARA_END 
               -         SENT_START 
лосось	  лосось    noun:m:v_naz:anim 
запечений запечений adjp:pasv:past:m:v_naz 
зі	  зі        prep:rv_rod:rv_zna:rv_oru 
шпинатом  шпинат    noun:m:v_oru 
настільки настільки adv 
смачний	 смачний    adj:m:v_naz:compb 
,	       -             - 
щоразу	 щоразу     adv 
його	 його       noun:n:v_rod:&pron:pers:3
замовляємо замовляти verb:pres:p:1:imperf 
)	       -    SENT_END 
                    PARA_END 
               -    SENT_START 
Ми	      ми       noun:p:v_naz:anim:&pron:pers:1
