Token	        Lemma    	Part-of-speech
гражда	     -                  - 
»	     -                  - 
—	     -                  - 
до	     до                 prep:rv_rod 
«            -                  - 
Корчми	     корчма             noun:f:v_rod 
»	     -                  - 
.	     -                  SENT_END 
             -                  SENT_START 
Все	     все                adv:v-u              
було	     бути               verb:past:n:imperf 
чудово	     чудово             adv:compb 
—	     -                  - 
погода	     погода             noun:f:v_naz 
,            -                  - 
озеро	     озеро              noun:n:v_naz                                
,	     -                  - 
інтер'єр     інтер'єр           noun:n:v_naz   
доки	     доки               adv:&pron:int:rel                               
не	     не                 part 
почалося     початися           verb:rev:past:n:perf 
обслуговування	обслуговування  noun:n:v_naz                                 
.	     -                  SENT_END 
             -                  SENT_START 
Воно	     воно               pron:pers:n:3:v_naz 
жахливе	     жахливий           adj:n:v_naz:compb                                 
!	     -                  SENT_END 
             -                  SENT_START 
Два	     два                numr:m:v_naz                                
офіціанти    офіціант           noun:p:v_naz:anim 
з	     з                  prep:rv_rod:rv_zna:rv_oru 
похмурим     похмурий           adj:n:v_oru:compb                                 
обличчям     обличчя            noun:n:v_oru                                  
,            -                  - 
які	     який               adj:p:v_naz:&pron:int:rel:def                               
несли	     нести              verb:past:p:imperf 
звичайний    звичайний          adj:m:v_naz:compb                                  
хліб	     хліб               noun:m:v_naz                                
20	     20                 number 
хвилин	     хвилина            noun:p:v_rod 
.	     -                  SENT_END 
             -                  SENT_START 
І	     і                  conj:coord                                
хоча	     хоча               conj:subord                               
замовлення   замовлення         noun:n:v_naz                                
було	     бути               verb:past:n:imperf 
велике	     великий            adj:n:v_naz:compb                                 
—	     -                  - 
взяли	     взяти              verb:past:p:perf 
шашлик	     шашлик             noun:m:v_zna 
,	     -                  - 
овочі	     овоч               noun:p:v_zna 
,	     -                  - 
картоплю     картопля           noun:f:v_zna 
по-мисливські-                  - 
—            -                  - 
вони	     вони               pron:pers:p:3:v_naz:anim
зовсім	     зовсім             adv 
не	     не                 part 
поспішали    поспішати          verb:past:p:imperf 
до	     до                 prep:rv_rod 
нас          ми                 pron:pers:p:1:v_rod:anim                      
.	    -                   SENT_END 
            -                   SENT_START 
А	    а                   conj:coord                                 
потім	   потім                adv:&pron:dem 
ще	   ще                   adv                                 
й	   й                    part 
принесли   принести             verb:past:p:perf 
пиво	   пиво                 noun:n:v_zna 
,	   -                    - 
термін	   термін               noun:m:v_naz                                 
придатності придатність         noun:f:v_rod 
якого	   який                 adj:m:v_rod:&pron:int:rel:def
закінчився закінчитися          verb:rev:past:m:perf 
року	   рік                  noun:m:v_rod                                 
(	   -                    - 
а	   а                    conj:coord                                 
ми	   ми                   pron:pers:p:1:v_naz:anim 
були	   бути                 verb:past:p:imperf 
30.04.2012 30.04.2012           date 
)	   -                    - 
.	   -                    SENT_END 
           -                    SENT_START 
Було	   бути                 verb:past:n:imperf 
дуже	   дуже                 adv          
незручно   незручно             adv 
перед	   перед                noun:m:v_naz                                 
іноземними іноземний            adj:p:v_oru 
гостями	   гість                noun:p:v_oru:anim 
.	   -                    SENT_END 
           -                    SENT_START 
Ми	   ми                   pron:pers:p:1:v_naz:anim 
віддали	   віддати              verb:past:p:perf 
пиво	   пиво                 noun:n:v_zna 
,	   -                    - 
але	   але                  conj:coord                                 
,	   -                    - 
здається   здаватися            verb:rev:pres:s:3:imperf 
,	   -                    - 
офіціанти  офіціант             noun:p:v_naz:anim 
і	   і                    conj:coord                                
не	   не                   part 
збиралися  збиратися            verb:rev:past:p:imperf 
обмінювати обмінювати           verb:inf:imperf 
його	   воно                 pron:pers:m:3:v_rod:anim                              
на	   на                   prep:rv_zna:rv_mis 
свіже	   свіжий               adj:n:v_zna:compb 
.	   -                    SENT_END 
           -                    SENT_START 
Хвилин	   хвилина              noun:p:v_rod 
за	   за                   prep:rv_rod:rv_zna:rv_oru
20	   20                   number 
ми	   ми                   pron:pers:p:1:v_naz:anim
поцікавилися поцікавитися       verb:rev:past:p:perf 
,	   -                    - 
чи	   чи                   conj:coord:subord                                 
дадуть	   дати                 verb:futr:p:3:perf 
нам	   ми                   noun:p:v_zna 
,	   -                      - 
і	   і                    conj:coord                                 
ще	   ще                   adv                                
хвилин	   хвилина              noun:p:v_rod 
за	   за                   prep:rv_rod:rv_zna:rv_oru
20	   20                   number 
вони	   вони                 pron:pers:p:3:v_naz:anim
нарешті	   нарешті              adv                        
принесли   принести             verb:past:p:perf 
інші	   інший                adj:p:v_zna:&pron:def 
пляшки	   пляшка               noun:p:v_zna 
...	   -                    SENT_END 
           -                    SENT_START 
Брудні	   брудний              adj:p:v_naz:compb 
тарілки	   тарілка              noun:p:v_naz                                
не	   не                   part 
забиралися забиратися           verb:rev:past:p:imperf 
вчасно	   вчасно               adv 
,	   -                    - 
треба	   треба                predic 
було	   бути                 verb:past:n:imperf 
на	   на                   prep:rv_zna:rv_mis 
все	   все                  adv:v-u                                    
дуже	   дуже                 adv          
довго	   довго                adv:compb 
чекати	   чекати               verb:inf:imperf 
.	   -                    SENT_END 
           -                    SENT_START 
Було	   бути                 verb:past:n:imperf 
соромно	   соромно              adv 
за	   за                   prep:rv_rod:rv_zna:rv_oru
наш	   наш                  adj:m:v_zna:&pron:pos 
сервіс	   сервіс               noun:m:v_naz  
                                
,	   -                    - 
А	   а                    part 
потім	   потім                adv:&pron:dem 
ще	   ще                   part 
й	   й                    part 
спробували спробувати           verb:past:p:perf 
обдурити   обдурити             verb:inf:perf 
нас	   ми                   pron:pers:p:1:v_rod:anim                                 
на	   на                   prep:rv_zna:rv_mis 
рахунку	   рахунок              noun:m:v_mis                                
—	   -                    - 
з	   з                    prep:rv_rod:rv_zna:rv_oru
одного	   один                 numr:n:v_rod 
не	   не                   part 
принесли   принести             verb:past:p:perf 
решту	   решта                noun:f:v_zna 
,	   -                    - 
натомість  натомість            adv 
,	   -                    - 
порахували порахувати           verb:past:p:perf 
наступний  наступний            adj:m:v_zna 
...	   -                    SENT_END 
           -                    SENT_START 
Напевно	   напевно              adv 
,	   -                    - 
вирішили   вирішити             verb:past:p:perf 
собі	   себе                 pron:refl:m:v_dav                                
,	   -                    - 
що	   що                   conj:subord                              
це	   цей                  adj:n:v_naz:&pron:dem                              
чайові	   чайові               noun:p:v_naz                                
.	   -                    SENT_END 
           -                    SENT_START 
Але    	   але                  conj:coord                               
так	   так                  adv:&pron:dem                               
не	   не                   part 
робиться   робитися             verb:rev:pres:s:3:imperf
! 	   -                    SENT_END 
           -                    SENT_START 
Або	   або                  conj:coord 
поміняйте  поміняти             verb:impr:p:2:perf 
персонал   персонал             noun:m:v_zna 
,	   -                    - 
або	   або                  conj:coord 
втратите   втратити             verb:futr:p:2:perf:v-u 
клієнтів   клієнт               noun:p:v_rod:anim                              
.	   -                    SENT_END 
           -                    SENT_START 
Дуже	   дуже                 adv           
шкода	   шкода                noun:f:v_naz 
,	   -                    - 
адже	   адже                 conj:subord                                
місце	   місце                noun:n:v_naz                                 
справді	   справді              adv                                
чудове	   чудовий              adj:n:v_naz:compb                               
.	   -                    SENT_END 
                                PARA_END
           -                    SENT_START 
Вчора	   вчора                adv:v-u 
були	   бути                 verb:past:p:imperf 
в	   в                    prep:rv_zna:rv_mis:rv_rod:v-u 
Києві	   Київ                 noun:m:v_dav 
у	   у                    prep:rv_zna:rv_mis:rv_rod:v-u 
Дукаті	   дукат                noun:m:v_mis 
на	   на                   prep:rv_zna:rv_mis 
Червоноармійській червоноармійський  adj:f:v_mis 
.	   -                    SENT_END 
           -                    SENT_START 
Мушу	   мусити               verb:pres:s:1:imperf 
сказати	   сказати              verb:inf:perf 
,	   -                    - 
що	   що                   conj:subord                                 
вам	   ви                   pron:pers:p:2:v_dav:anim 
у	   у                    prep:rv_zna:rv_mis:rv_rod:v-u 
Львові	   Львів                noun:m:v_mis 
повезло	   повезти              verb:past:n:perf 
.	   -                    SENT_END 
           -                    SENT_START 
Бо	   бо                   conj:subord                           
весь	   весь                 adj:m:v_naz:&pron:dem                               
львівський львівський           adj:m:v_naz                               
негативний негативний           adj:m:v_naz:compb                                
«	   -                    - 
досвід	   досвід               noun:m:v_naz                               
»	   -                    - 
перенесено перенести            verb:impers:perf 
у	   у                    prep:rv_zna:rv_mis:rv_rod:v-u 
Київ	   Київ                 noun:p:v_rod 
.	   -                    SENT_END 
           -                    SENT_START 
А	   а                    conj:coord                                
Вам	   ви                   pron:pers:p:2:v_dav:anim
залишили   залишити             verb:past:p:perf 
смачну	   смачний              adj:f:v_zna:compb 
каву	   кава                 noun:f:v_zna 
.	   -                    SENT_END 
           -                    SENT_START 
У	   у                    prep:rv_zna:rv_mis:rv_rod:v-u 
неділю	   неділя               noun:f:v_zna 
о	   о                    prep:rv_zna:rv_mis 
7	   7                    number 
вечора	   вечір                noun:m:v_rod 
ми	   ми                   pron:pers:p:1:v_naz:anim 
були	   бути                 verb:past:p:imperf 
єдиними	   єдиний               adj:p:v_oru 
відвідувачами	відвідувач      noun:p:v_oru:anim 
,    	   -                    - 
але	   але                  conj:coord                               
меню	   меню                 noun:n:v_naz:nv                                
дали	   дати                 verb:past:p:perf 
одне	   один                 numr:n:v_zna 
на	   на                   prep:rv_zna:rv_mis 
двох	   двоє                 numr:p:v_rod          
.	   -                    SENT_END 
           -                    SENT_START 
Чекали	   чекати               verb:past:p:imperf 
довго	   довго                adv:compb 
,	   -                    - 
поки	   поки                 adv:&pron:int:rel 
                                conj:subord 
прийшла	   прийти               verb:past:f:perf 
дівчина	   дівчина              noun:f:v_naz:anim 
та	   та                   conj:coord 
                                part 
прийняла   прийняти             verb:past:f:perf 
замовлення замовлення           noun:n:v_zna                             
.	   -                    SENT_END 
           -                    SENT_START 
Про	   про                  prep:rv_zna 
ціни	   ціна                 noun:p:v_zna 
та	   та                   conj:coord                                
гучномовці гучномовець          noun:p:v_zna 
—	   -                    - 
промовчу   промовчати           verb:futr:s:1:perf 
.	   -                    SENT_END 
           -                    SENT_START 
Про	   про                  prep:rv_zna 
якість	   якість               noun:f:v_zna 
кави	   кава                 noun:f:v_rod 
—	   -                    - 
теж	   теж                  adv                              
.	   -                    SENT_END 
           -                    SENT_START 
15	   15                   number 
хв	   -                    - 
.	   -                    SENT_END 
           -                    SENT_START 
чекали	   чекати               verb:past:p:imperf 
,	   -                    - 
поки	   поки                 adv:&pron:int:rel                                
нас	   ми                   pron:pers:p:1:v_zna:anim
розрахують розрахувати          verb:futr:p:3:perf 
—	   -                    - 
недочекалися -                  - 
і	   і                    conj:coord 
                                part 
самі	   самий                adj:p:v_naz 
                               
пішли	   піти                 verb:past:p:perf 
розраховуватися	розраховуватися verb:rev:inf:imperf 
до	   до                   prep:rv_rod 
каси	   каса                 noun:f:v_rod                                 
.	   -                    SENT_END 
           -                    SENT_START 
А	   а                    conj:coord                               
там	   там                  adv:&pron:dem                             
побачили   побачити             verb:past:p:perf 
,	   -                    - 
як	   як                   conj:subord                                 
4	   4                    number 
(	   -                    - 
а	   а                    conj:coord                                
може	   могти                verb:unknown 
5	   5                    number 
)	   -                    - 
,	   -                    - 
«	   -                    - 
працівників працівник           noun:p:v_zna:anim 
»	   - 
           - 
мило	   мило                 adv:compb       
«	   -                    - 
щебетали   щебетати             verb:past:p:imperf 
»	   -                    - 
—	   -                    - 
ну	   ну                   excl                          
навіщо	   навіщо               adv:&pron:int:rel 
ми	   ми                   pron:pers:p:1:v_naz:anim
їм	   вони                 pron:pers:p:3:v_dav:anim
.	   -                    SENT_END 
           -                    SENT_START 
Ця	   цей                  adj:f:v_naz:&pron:dem 
кав'ярня   кав'ярня             noun:f:v_naz 
в	   в                    prep:rv_zna:rv_mis:rv_rod:v-u 
центрі	   центр                noun:m:v_mis 
міста	   місто                noun:n:v_rod                                 
.	   -                    SENT_END 
           -                    SENT_START 
Поряд	   поряд                adv                                
—	   -                    - 
4-5	   4-5                  number 
,	   -                    - 
але	   але                  conj:coord 
майже	   майже                adv 
повністю   повністю             adv 
заповнені  заповнений           adjp:pasv:past:p:v_naz                                 
.	   -                    SENT_END 
           -                    SENT_START 
Так	   так                  adv:&pron:dem                              
що	   що                   conj:subord      
конкуренція конкуренція         noun:f:v_naz 
все	   все                  adv:v-u     
розставляє розставляти          verb:pres:s:3:imperf 
по	   по                   prep:rv_mis:rv_zna 
місцям	   місце                noun:p:v_dav 
.	   -                    SENT_END 
           -                    SENT_START 
Але	   але                  conj:coord                     
за	   за                   prep:rv_rod:rv_zna:rv_oru
чарівне	   чарівний             adj:n:v_zna:compb 
місто	   місто                noun:n:v_zna 
Львів	   Львів                noun:m:v_zna 
та	   та                   conj:coord                              
наш	   наш                  adj:m:v_naz:&pron:pos                      
зіпсований зіпсований           adjp:pasv:past:m:v_naz                               
настрій	   настрій              noun:m:v_naz                      
прикро	   прикро               adv:compb 
...	   -                    SENT_END  
                                PARA_END 
	   -                    SENT_START 
«	   -                    - 
Пепероні   -                    - 
»	   -                    - 
,	   -                    - 
як	   як                   adv:&pron:int:rel                               
на	   на                   prep:rv_zna:rv_mis 
мій	   мій                  adj:m:v_zna:&pron:pos 
погляд	   погляд               noun:m:v_zna 
,	   -                    - 
зараз	   зараз                adv:&pron:dem           
найкраща   хороший              adj:f:v_naz:super 
піцерія	   піцерія              noun:f:v_naz 
у	   у                    prep:rv_zna:rv_mis:rv_rod:v-u 
Львові	   Львів                noun:m:v_mis 
.	   -                    SENT_END 
           -                    SENT_START 
Дуже	   дуже                 adv                       
симпатичне симпатичний          adj:n:v_naz:compb                             
,	   -                    - 
затишне	   затишний             adj:n:v_naz:compb                              
і	   і                    conj:coord                               
дещо	   дещо                 adv 
                                pron:ind:v_naz                               
помпезно   помпезний            adj:n:v_naz                                
оформлення оформлення           noun:n:v_naz                              
приміщення приміщення           noun:n:v_rod                               
(	   -                    - 
це	   цей                  adj:n:v_naz:&pron:dem                             
щось	   щось                 pron:ind:n:v_zna 
цілком	   цілком               adv 
протилежне протилежний          adj:n:v_naz 
до	   до                   prep:rv_rod 
оформлення оформлення           noun:n:v_rod                                
піцерій	   піцерія              noun:p:v_rod 
такого	   такий                adj:n:v_rod:&pron:def 
типу	   тип                  noun:m:v_rod 
як         як                   adv:&pron:int:rel                            
«	   -                    - 
Нью-Йорк   Нью-Йорк             noun:m:v_naz                            
»	   -                    - 
)	   -                    - 
.	   -                    SENT_END 
           -                    SENT_START 
Піцца	   -                    - 
в	   в                    prep:rv_zna:rv_mis:rv_rod:v-u 
«	   -                    - 
Пепероні   -                    - 
»	   -                    - 
дуже	   дуже                 adv         
смачна	   смачний              adj:f:v_naz:compb 
,	   -                    - 
тісто	   тісто                noun:n:v_naz 
в	   в                    prep:rv_zna:rv_mis:rv_rod:v-u 
ній	   вона                 pron:pers:f:3:v_mis:anim 
тоньше	   -                    - 
ніж	   ніж                  conj:subord               
у	   у                    prep:rv_zna:rv_mis:rv_rod:v-u 
більшості  більшість            noun:f:v_dav                                                           
інших	   інший                adj:p:v_rod:&pron:def                                
піцерій	   піцерія              noun:p:v_rod 
,   	   -                    - 
але	   але                  conj:coord                              
разом	   разом                adv
раз        adv                  noun:m:v_oru 
з	   з                    prep:rv_rod:rv_zna:rv_oru 
тим	   той                  adj:m:v_oru:&pron:dem                                
—	   -                    - 
не	   не                   part 
пересушене пересушений          adjp:pasv:past:n:v_naz                          
.	   -                    SENT_END 
           -                    SENT_START 
Окрім	   окрім                prep:rv_rod 
того	   той                  adj:m:v_rod:&pron:dem                                 
—	   -                    - 
можна	   можна                predic 
замовити   замовити             verb:inf:perf 
так	   так                  part 
звану	   званий               adjp:pasv:past:f:v_zna 
«	   -                    - 
дуже	   дуже                 adv           
велику	   великий              adj:f:v_zna:compb 
»	   -                    - 
піццу	   -                    - 
для	   для                  prep:rv_rod 
людей	   люди                 noun:p:v_zna:anim 
з	   з                    prep:rv_rod:rv_zna:rv_oru
серйозним  серйозний            adj:m:v_oru:compb                                 
апетитом   апетит               noun:m:v_oru 
(	   -                    - 
але	   але                  conj:coord                         
попереджаю попереджати          verb:pres:s:1:imperf 
—	   -                    - 
вона	   вона                 pron:pers:f:3:v_naz:anim 
таки	   таки                 part 
дійсно	   дійсно               adv 
дуже	   дуже                 adv
велика	   великий              adj:f:v_naz:compb 
!	   -                    SENT_END 
           -                    SENT_START 
:	   -                    - 
-	   -                    - 
)	   -                    - 
)	   -                    - 
.	   -                    SENT_END 
                                PARA_END 
           -                    SENT_START 
Інтер'єр   інтер'єр             noun:m:v_naz                               
,	   -                    - 
обслуговування	обслуговування  noun:n:v_naz                                
та	   та                   conj:coord       
загальна   загальний            adj:f:v_naz:compb 
атмосфера  атмосфера            noun:f:v_naz 
були	   бути                 verb:past:p:imperf 
на	   на                   prep:rv_zna:rv_mis 
достойному достойний            adj:m:v_dav:compb                                
рівні	   рівень               noun:p:v_naz 
,	   -                    - 
але	   але                  conj:coord                          
сама	   сам                  adj:f:v_naz:&pron:def          
піца	   піца                 noun:f:v_naz 
виявилась  виявитися            verb:rev:past:f:perf 
несмачною  несмачний            adj:f:v_oru 
.	   -                    SENT_END 
           -                    SENT_START 
Спочатку   спочатку             adv 
здалося	   здатися              verb:rev:past:n:perf 
,	   -                    - 
що	   що                   conj:subord                                 
ми	   ми                   pron:pers:p:1:v_naz:anim 
обрали	   обрати               verb:past:p:perf 
невдалі	   невдалий             adj:p:v_zna 
начинки	   начинка              noun:p:v_naz 
,	   -                    - 
але	   але                  conj:coord                                  
згодом	   згодом               adv 
зрозуміли  зрозуміти            verb:past:p:perf 
,	   -                    - 
що	   що                   conj:subord                           
вся	   весь                 adj:f:v_naz:&pron:dem 
справа	   справа               noun:f:v_naz 
в	   в                    prep:rv_zna:rv_mis:rv_rod:v-u 
тісті	   тісто                noun:n:v_mis 
,	   -                    - 
яке	   який                 adj:n:v_naz:&pron:int:rel:def   
банально   банально             adv:compb 
прісне	   прісний              adj:n:v_naz                                  
,	   -                    - 
без	   без                  prep:rv_rod 
характерного характерний        adj:m:v_rod:compb                                
піцевого   -                    - 
смаку	   смак                 noun:m:v_rod 
.	   -                    SENT_END 
           -                    SENT_START 
Можливо	   можливо              adv 
