Token	Lemma		Part-of-speech	Chunk
	      - 		SENT_START 	
замовити замовити 	verb:inf:perf 	
в		в	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
ресторані ресторан 	noun:m:v_mis 	
,		-	 		- 	
бо		бо	 		conj:subord  	
всюди	всюди 		adv:&pron:gen:v-u 	
були	бути 		verb:past:p:imperf 	
корпоративи	корпоратив noun:p:v_naz  	
,		-	 		- 	
а		а	 		conj:coord 	
телефон	телефон 	noun:m:v_naz 
ресторану ресторан 	noun:m:v_rod 	
не		не	 		part 	
відповідав відповідати verb:past:m:imperf 	
,		-	 		- 	
а		а	 		conj:coord 	
зважаючи зважати 	advp:imperf 	
на		на 			prep:rv_zna:rv_mis 	
те		той 		adj:n:v_zna:&pron:dem 	
,		-	 		- 	
що		що 			conj:subord 	
поблизу	поблизу 	adv  	
ніяких	ніякий 		adj:p:v_zna:&pron:neg 	
ресторанів ресторан noun:p:v_rod 	
немає 	немає 		predic 	
-		-	 		- 	
це		цей 		adj:n:v_naz:&pron:dem  	
вагомий	вагомий 	adj:m:v_naz:compb  	
мінус	мінус 		noun:m:v_naz  	
для		для 		prep:rv_rod 	
вихідного вихідний 	adj:m:v_rod  	
дня		день 		noun:m:v_rod 	
.		-	 		SENT_END 	
		- 			SENT_START 	
Чистота	чистота 	noun:f:v_naz 	
,		-	 		- 	
робота	робота 		noun:f:v_naz	
персоналу персонал  noun:m:v_rod 	
і		і	 		conj:coord  	
ціна	ціна 		noun:f:v_naz 	
-		-	 		- 	
супер	супер 		noun:m:v_naz  	
!		-	 		SENT_END  	
		-	 		SENT_START 	
Негативні негативний adj:p:v_naz:compb  	
відгуки	відгук 		noun:p:v_naz  	
щодо	щодо 		prep:rv_rod 	
роботи	робота		noun:f:v_rod  	
персоналу персонал  noun:m:v_rod 	
ресторану ресторан  noun:m:v_rod 	
Панорама панорама 	noun:f:v_naz 	
!	 	-	 		- 	
!		-	 		- 	
!		-	 		- 	
!		-	 		- 	
!		-	 		SENT_END 	
		-	 		SENT_START 	
Офіціанти офіціант  noun:p:v_naz:anim 	
не		не	 		part 	
поважають поважати 	verb:pres:p:3:imperf 	
Гостей	 гість 		noun:p:v_rod:anim  	
закладу	заклад 		noun:m:v_rod	
,		-	 		- 	
дозволяють дозволяти verb:pres:p:3:imperf 	
собі	себе 		noun:m:v_dav:&pron:refl 	
грубість грубість 	noun:f:v_zna 	
у		у	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
спілкуванні	спілкування noun:n:v_mis 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Якщо	якщо 		conj:subord 	
не		не	 		part 	
бажаєте	бажати 		verb:pres:p:2:imperf 	
,		-	 		- 	
щоб		щоб 		conj:subord  	
Ваш		ваш 		adj:m:v_naz:&pron:pos  	
вечір	вечір 		noun:m:v_naz  	
закінчився закінчитися verb:rev:past:m:perf 	
роздратуванням роздратування noun:n:v_oru  	
та		та 			conj:coord  	
негативними	негативний adj:p:v_oru:compb 	
емоціями емоція 	noun:p:v_oru 	
не 		не	 		part 	
відвідуйте відвідувати verb:impr:p:2:imperf 	
цей		цей 		adj:m:v_zna:&pron:dem	
Ресторан ресторан  	noun:m:v_zna 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Шановні	шановний 	adj:p:v_naz  	
керівники керівник 	noun:p:v_naz:anim 	
закладу заклад 		noun:m:v_rod 	
,		-	 		- 	
прошу	просити 	verb:pres:s:1:imperf 	
звернути звернути 	verb:inf:perf 	
увагу	увага 		noun:f:v_zna 	
на		на 			prep:rv_zna:rv_mis 	
непрофесійну непрофесійний adj:f:v_zna 	
роботу	робота 		noun:f:v_zna 	
свого	свій 		adj:m:v_rod:&pron:pos  	
персоналу персонал 	noun:m:v_rod 	
,		- 			- 	
а		а	 		conj:coord 	
саме	саме 		part 	
зміна	зміна 		noun:f:v_naz 	
20.11.15р.	- 		SENT_END 	
		-	 		SENT_START 	
/		-	 		- 	
вечір	вечір 		noun:m:v_naz  	
/		-	 		- 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Прошу	просити 	verb:pres:s:1:imperf 	
не		не	 		part 	
залишити залишити 	verb:inf:perf 	
цей		цей 		adj:m:v_zna:&pron:dem	
відгук	відгук 		noun:m:v_zna 	
поза	поза 		prep:rv_zna:rv_oru 	
увагою	увага 		noun:f:v_oru 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Була	бути 		verb:past:f:imperf 	
вперше	вперше 		adv:v-u 	
.		- 			SENT_END 	
		- 			SENT_START 	
Дуже	дуже 		adv:compb	
вражена	вражений 	adjp:pasv:perf:f:v_naz 	
інтер'єром інтер'єр noun:m:v_oru 	
(		-	 		- 	
навть	- 			- 	
у		у	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
клозеті	клозет 		noun:m:v_mis 	
)		-	 		- 	
.		- 			SENT_END 	
		-	 		SENT_START 	
Приємно	приємно 	adv:compb 	
вражена	вражений 	adjp:pasv:perf:f:v_naz 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Офіціанти офіціант 	noun:p:v_naz:anim 	
всі		весь 		adj:p:v_naz:&pron:dem 	
були	бути 		verb:past:p:imperf 	
привітні привітний 	adj:p:v_naz:compb  	
-		-	 		- 	
без		без 		prep:rv_rod 	
проблем	проблема 	noun:p:v_rod 	
допомогли допомогти verb:past:p:perf 	
з		з	 		prep:rv_rod:rv_zna:rv_oru	
фотознімками фотознімок noun:p:v_oru 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Дегустувала	дегустувати verb:past:f:imperf 	
наливки	наливка  	noun:p:v_zna 	
з		з	 		prep:rv_rod:rv_zna:rv_oru	
пробірок пробірка 	noun:p:v_rod 	
-		-	 		- 	
прикольно	- 		- 	                           (slang)
)		-	 		- 	
)		- 			- 	
.		- 	 		SENT_END 	
		-	 		SENT_START 	
А		а 			part 	
от		от	 		part 	
"		-	 		- 	
Сковорідка сковорідка noun:f:v_naz 	
"		-	 		- 	
могла	могти 		verb:past:f:imperf 	
б		б	 		part 	
бути	бути 		verb:inf:imperf 	
більш	багато 		adv:compr 	
цікавою	цікавий 	adj:f:v_oru:compb 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
В		в	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
цілому	цілий 		adj:m:v_dav  	
дуже	дуже 		adv:compb	
сподобалось	сподобатися verb:rev:past:n:perf 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Вид		вид 		noun:m:v_naz  	
на		на 			part 	
Оперний	оперний 	adj:m:v_zna 	
театр	театр 		noun:m:v_zna 
		-			SENT_END 
		-	 		SENT_START 	
Хотілось хотітися 	verb:rev:past:n:imperf 	
провести провести 	verb:inf:perf 	
вечір	вечір 		noun:m:v_zna 	
у		у	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
Львові	Львів 		noun:m:v_mis 	
в		в 			prep:rv_zna:rv_mis:rv_rod:v-u 	
чудовому чудовий 	adj:n:v_mis:compb 	
місці	місце 		noun:n:v_mis 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Ознайомившись ознайомитися advp:rev:perf 	
з		з	 		prep:rv_rod:rv_zna:rv_oru 	
прозиціями	- 		- 	
,		- 			- 	
які		який 		adj:p:v_naz:&pron:int:rel:def 
нам		ми	 		noun:p:v_dav:anim:&pron:pers:1	
надішли	надіслати 	verb:impr:s:2:perf 	
зупинились зупинитися verb:rev:past:p:perf 	
на		на 			prep:rv_zna:rv_mis 	
ресторані ресторан 	noun:m:v_mis 	
"		-	 		- 	
Панорама панорама 	noun:f:v_naz 	
"		-	 		- 	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Зайнявши зайняти 	advp:perf 	
столик	столик 		noun:m:v_zna 	
,		-	 		- 	
який	який 		adj:m:v_zna:&pron:int:rel:def  	
ми		ми 			noun:p:v_naz:anim:&pron:pers:1	
бронювали бронювати verb:past:p:imperf 	
офіціант офіціант 	noun:m:v_naz:anim 	
