Token			Lemma			Part-of-speech				Chunk
						PARA_START
			-			SENT_START 
неприємно		неприємно 		adv:compb 
вражена			вражений 		adjp:pasv:past:f:v_naz 
,			- 			- 
коли			коли 			conj:subord 
розповідали		розповідати 		verb:past:p:imperf 
що			що 			conj:subord 
бармени			бармен 			noun:p:v_naz:anim 
виклячували		- 			- 
коктейлі		коктейль 		noun:p:v_zna 
для			для			prep:rv_rod 
"			- 			- 
дівчаток		дівчатко 		noun:p:v_rod:anim  
"			- 			- 
а			а 			conj:coord 
ті			той 			pron:dem 
не			не 			part 
маючи			мати 			advp:imperf 
міри			міра 			noun:f:v_rod 
набирали		набирати 		verb:past:p:imperf 
подвійні		подвійний 		adj:p:v_zna 
,			- 			- 
що			що 			conj:subord 
стрип			- 			- 
там			там 			adv 
просто			просто 			adv:compb 
жахливий		жахливий		adj:m:v_naz:compb 
,			- 			- 
причому			причому 		conj:subord 
і			і 			conj:coord 
приват			- 			- 
теж			теж 			part 
не			не 			part 
вартує			вартувати 		verb:pres:s:3:imperf 
тих			той 			pron:dem 
грошей			гроші 			noun:p:v_rod 
.			- 			SENT_END
 
			- 			SENT_START 
До			до 			prep:rv_rod 
12			12 			number 
години			година 			noun:f:v_rod 
пригналась		пригнатися 		verb:rev:past:f:perf 
адміністратор		адміністратор 		noun:m:v_naz:anim 
і			і 			conj:coord 
сказала			сказати 		verb:past:f:perf 
щоб			щоб 			conj:subord 
розраховувались		розраховуватися 	verb:rev:past:p:imperf 
бо			бо 			conj:subord 
мають			мати 			verb:pres:p:3:imperf 
закрити			закрити 		verb:inf:perf 
рахунки			рахунок 		noun:p:v_zna 
.			- 			SENT_END

			- 			SENT_START 
Більше			багато 			adv:compr 
ніколи			ніколи 			adv 
не			не 			part 
буду			бути			verb:futr:s:1:imperf 
рекомендувати		рекомендувати 		verb:inf:imperf 
цей			цей 			pron:dem
заклад			заклад 			noun:m:v_zna 
.			- 			SENT_END
 
			- 			SENT_START 
Шкодую			шкодувати 		verb:pres:s:1:imperf 
,			- 			- 
що			що 			conj:subord
не			не 			part 
прочитала		прочитати 		verb:past:f:perf 
відгуки			відгук 			noun:p:v_zna 
про			про			prep:rv_zna 
нього			він 			pron:pers:3 
,			- 			- 
перед			перед 			prep:rv_oru 
тим			той 			pron:dem
як			як 			part 
запропонувати		запропонувати 		verb:inf:perf 
друзям			друзі 			noun:p:v_dav:anim 
.			- 			SENT_END 
						PARA_END
 
						PARA_START 
			- 			SENT_START 
Заклад			заклад 			noun:m:v_naz 
вражає			вражати 		verb:pres:s:3:imperf 
неповагою		неповага 		noun:f:v_oru 
до			до 			prep:rv_rod 
своіх			- 			- 
клієнтів		клієнт 			noun:p:v_rod:anim 
.			- 			SENT_END
 
			- 			SENT_START 
Замовила		замовити 		verb:past:f:perf 
чай			чай 			noun:m:v_zna 
,			- 			- 
чекала			чекати 			verb:past:f:imperf 
довго			довго 			adv:compb 
,			- 			- 
до			до 			prep:rv_rod 
чайничка		- 			- 
принесли		принести 		verb:past:p:perf 
брудне			брудний 		adj:n:v_zna:compb 
горнятко		горнятко 		noun:n:v_zna 
і			і 			conj:coord 
таку			такий 			pron:def 
ж			ж 			part 
тарілку			тарілка 		noun:f:v_zna 
з			з 			prep:rv_oru
жовтими			жовтий 			adj:p:v_oru:compb 
потьоками		- 			- 
і			і			conj:coord 
одним			один 			numr:m:v_oru 
пакетиком		пакетик 		noun:m:v_oru 
цукру			цукор 			noun:m:v_rod 
.			- 			SENT_END
 
			- 			SENT_START 
Попросила		попросити 		verb:past:f:perf 
замінити		замінити 		verb:inf:perf 
,			- 			- 
чекала			чекати 			verb:past:f:imperf 
півгодини		півгодини 		adv 
,			- 			- 
чай			чай 			noun:m:v_naz 
вже			вже 			adv:v-u 
холонув			холонути 		verb:past:m:imperf 
.			- 			SENT_END

			- 			SENT_START 
Нагадували		нагадувати 		verb:past:p:imperf 
3			3 			number 
(			- 			- 
!			- 			- 
)			- 			- 
рази			раз 			noun:p:v_zna 
,			- 			- 
щоб			щоб 			conj:subord 
замінила		замінити 		verb:past:f:perf 
посуд			посуд 			noun:m:v_zna 
!			- 			SENT_END
 
			- 			SENT_START 
Вона			вона 			pron:pers:3
принесла		принести 		verb:past:f:perf 
...			- 			- 
але			але 			conj:coord 
за			за 			prep:rv_zna 
сусідній		сусідній 		adj:m:v_zna 
столик			столик 			noun:m:v_zna 
!			- 			SENT_END

			- 			SENT_START 
Знов			знов 			adv 
нагадали		нагадати 		verb:past:p:perf 
,			- 			- 
забрала			забрати 		verb:past:f:perf 
з			з 			prep:rv_rod 
сусідньогл		- 			- 
столика			столик 			noun:m:v_rod 
-			- 			- 
віддала			віддати 		verb:past:f:perf 
мені			я 			pron:pers:1
.			- 			SENT_END
 
			- 			SENT_START 
Не			не 			part 
встигла			встигнути 		verb:past:f:perf:v-u 
я			я 			pron:pers:1
спробувати		спробувати 		verb:inf:perf 
врешті			врешті 			adv:v-u 
той			той 			pron:dem 
чай			чай 			noun:m:v_zna 
,			- 			- 
як			як 			conj:subord 
вона			вона 			pron:pers:3 
прибігла		прибігти 		verb:past:f:perf 
питати			питати 			verb:inf:imperf 
,			- 			- 
чи			чи 			part 
можна			можна 			predic 
забирати		забирати 		verb:inf:imperf 
чайничок		- 			- 
!			- 			SENT_END

			- 			SENT_START 
Жахливе			жахливий 		adj:n:v_naz:compb 
обслуговування		обслуговування 		noun:n:v_naz 
,			- 			- 
замість			замість 		prep:rv_rod 
того			той 			pron:dem
,			- 			- 
щоб			щоб 			part 
відпочити		відпочити 		verb:inf:perf 
напрягаєшся		- 			- 
через			через 			prep:rv_zna 
таке			такий 			pron:def 
відношення		відношення 		noun:n:v_zna 
!			- 			SENT_END

			- 			SENT_START 
Коли			коли 			part 
замовляєте		замовляти 		verb:pres:p:2:imperf 
лате			лате 			noun:m:v_zna:nv:np 
,			- 			- 
майте			мати 			verb:impr:p:2:imperf 
на			на 			prep:rv_mis 
увазі			увага 			noun:f:v_mis 
,			- 			- 
що			що 			conj:subord 
вам			ви 			pron:pers:2 
порахують		порахувати 		verb:futr:p:3:perf 
еспресо			еспресо 		noun:n:v_zna:nv 
окремо			окремо 			adv 
і			і 			conj:coord
молоко			молоко 			noun:n:v_zna 
за			за 			prep:rv_rod 
10			10 			number 
грн			грн 			noun:p:v_rod:nv:abbr 
в			в 			prep:rv_zna 
додачу			додача 			noun:f:v_zna 
.			- 			SENT_END
 
			- 			SENT_START 
Більше			багато 			adv:compr 
туди			туди 			adv 
не			не 			part 
піду			піти 			verb:futr:s:1:perf 
!			- 			SENT_END 
						PARA_END

						PARA_START
			- 			SENT_START 
Були			бути 			verb:past:p:imperf 
в			в 			prep:rv_mis 
вашому			ваш 			pron:pos
закладі			заклад 			noun:m:v_mis 
29.05			- 			- 
.			- 			SENT_END
  
			- 			SENT_START 
Все			весь 			pron:dem
дуже			дуже 			adv 
сподобалось		сподобатися 		verb:rev:past:n:perf 
!			- 			SENT_END 

			- 			SENT_START 
Пиво			пиво 			noun:n:v_naz,			
- 			- 
смачні			смачний 		adj:p:v_naz:compb 
страви			страва 			noun:p:v_naz 
,			- 			- 
чудовий			чудовий 		adj:m:v_naz:compb 
виступ			виступ 			noun:m:v_naz 
гурту			гурт 			noun:m:v_rod 
"			- 			- 
Механічний		механічний 		adj:m:v_naz 
апельсин		апельсин 		noun:m:v_naz 
"			- 			- 
.			- 			SENT_END

			- 			SENT_START 
Дуже			дуже 			adv 
задоволені		задоволений 		adj:p:v_naz:compb:&adjp:pasv:past
!			- 			SENT_END
 
			- 			SENT_START 
Дякуємо			дякувати 		verb:pres:p:1:imperf 
за			за 			prep:rv_zna
атмосферу		атмосфера 		noun:f:v_zna 
!			- 			SENT_END 
			- 			PARA_END
 
						PARA_START
			- 			SENT_START 
Давно			давно 			adv 
не			не 			part 
був			бути 			verb:past:m:imperf 
в			в 			prep:rv_mis 
Домса			- 			- 
,			- 			- 
і			і 			conj:coord
коли			коли 			part 
в			в 			prep:rv_zna 
четвер			четвер 			noun:m:v_zna 
вирішили		вирішити 		verb:past:p:perf 
йти			йти 			verb:inf:imperf 
туди			туди 			adv 
дивитись		дивитися 		verb:rev:inf:imperf 
півфінал		півфінал 		noun:m:v_zna 
Ліги			ліга 			noun:f:v_rod 
Європи			Європа 			noun:f:v_rod 
"			- 			- 
Дніпро-Наполі		Дніпро-Наполі 		noun:m:v_naz 
"			- 			- 
,			- 			- 
то			то 			conj:subord 
думав			думати 			verb:past:m:imperf 
,			- 			- 
що			що 			conj:subord
наврядчи		- 			- 
буде			бути 			verb:futr:s:3:imperf 
нам			ми 			noun:p:v_dav:anim:&pron:pers:1 
місце			місце 			noun:n:v_naz 
.			- 			SENT_END 

			- 			SENT_START 
Забронювати		забронювати 		verb:inf:perf 
столик			столик 			noun:m:v_zna 
за			за 			prep:rv_oru 
телефоном		телефон 		noun:m:v_oru 
можуть			могти 			verb:unknown 
тільки			тільки 			part 
постійні		постійний 		adj:p:v_naz 
клієнти			клієнт 			noun:p:v_naz:anim 
,			- 			- 
тому			тому  			conj:subord
я			я 			pron:pers:1 
протягом		-			adv 
дня			день 			noun:m:v_rod 
дізнавався		дізнаватися 		verb:rev:past:m:imperf 
по			по 			prep:rv_mis:rv_zna			(adv)
телефону		телефон 		noun:m:v_dav 
ситуацію		ситуація 		noun:f:v_zna 
зі			зі 			prep:rv_oru 
столиками		столик 			noun:p:v_oru 
і			і 			conj:coord 
тільки			тільки 			part 
в			в 			prep:rv_mis 
19:00			19:00 			time 
вдалось			вдатися 		verb:rev:past:n:perf 
вмовити			вмовити 		verb:inf:perf 
дівчину			дівчина 		noun:f:v_zna:anim 
забронювати		забронювати 		verb:inf:perf 
столик			столик 			noun:m:v_zna 
,			- 			- 
обґрунтувавши		обґрунтувати 		advp:perf 
,			- 			- 
що			що 			conj:subord
через			через 			prep:rv_zna 
1,5			1,5 			number 
години			година 			noun:p:v_zna 
вже			вже 			adv:v-u 
буду			бути 			verb:futr:s:1:imperf 
на			на 			prep:rv_mis 
місці			місце 			noun:n:v_mis 
.			- 			SENT_END 

			- 			SENT_START 
Прийшовши		прийти 			advp:perf 
в			в 			prep:rv_mis
ХДРД			- 			- 
я			я 			noun:s:v_naz:anim:&pron:pers:1
помітив			помітити 		verb:past:m:perf 
тільки			тільки 			part 
один			один 			numr:m:v_zna 
резерв			резерв 			noun:m:v_zna 
,			- 			- 
кілька			кілька 			pron:ind 
зайнятих		зайнятий 		adjp:pasv:past:p:v_rod 
столиків		столик 			noun:p:v_rod 
і			і 			conj:coord
решта			решта 			noun:f:v_naz 
всі			весь 			pron:dem 
столи			стіл 			noun:p:v_zna 
вибирай			вибирати 		verb:impr:s:2:imperf 
який			який 			pron:rel
хочеш			хотіти 			verb:pres:s:2:imperf 
.			- 			SENT_END
 
			- 			SENT_START 
На			на 			prep:rv_zna 
футбол			футбол 			noun:m:v_zna 
підтягнулись		підтягнутися 		verb:rev:past:p:perf 
ще			ще 			part 
пару			пара 			noun:f:v_zna 
столів			стіл 			noun:p:v_rod 
і			і 			conj:coord
,			- 			- 
на			на 			prep:rv_zna 
моє			мій 			pron:pos 
здивування		здивування 		noun:n:v_zna 
,			- 			- 
ніяким			ніякий 			pron:neg 
аншлагом		аншлаг 			noun:m:v_oru 
і			і 			conj:coord 
не			не 			part 
пахло			пахнути 		verb:past:n:imperf
.			- 			SENT_END
 
			- 			SENT_START 
"			- 			- 
Давайтє			- 			- 
,			- 			- 
разбіраться		- 			- 
"			- 			- 
(			- 			- 
с			с 			noun:f:v_naz:nv:abbr 
)			- 			SENT_END

			- 			SENT_START 
Футбол			футбол 			noun:m:v_naz 
Для			для 			prep:rv_rod 
перегляду		перегляд 		noun:m:v_rod 
футболу			футбол 			noun:m:v_rod 
це			-			part
найкомфортніше		комфортний 		adj:n:v_naz:super
місце			місце 			noun:n:v_naz
:			- 			- 
великий			великий 		adj:m:v_naz:compb 
екран			екран 			noun:m:v_naz 
на			на 			prep:rv_mis 
рівні			рівень			noun:m:v_mis 
очей			око 			noun:p:v_rod 
і			і 			conj:coord 
столи			стіл 			noun:p:v_naz
розташовані		розташований 		adjp:pasv:past:p:v_naz 
таким			такий 			pron:def
чином			чин 			noun:m:v_oru
,			- 			- 
що			що 			conj:subord
ніхто			ніхто 			pron:neg 
не			не 			part 
заважає			заважати 		verb:pres:s:3:imperf 
дивитись		дивитися 		verb:rev:inf:imperf 
.			- 			SENT_END
 
			- 			SENT_START 
Звук			звук 			noun:m:v_naz
хороший			хороший 		adj:m:v_naz:compb 
,			- 			- 
розбірливо		розбірливо 		adv 
чути			чути 			verb:inf:imperf 
,			- 			- 
що			що 			conj:subord
говорить		говорити 		verb:pres:s:3:imperf 
коментатор		коментатор 		noun:m:v_naz:anim 
.			- 			SENT_END
 
			- 			SENT_START 
Пиво			пиво 			noun:n:v_naz  
Не			не 			part 
посмакувало		посмакувати 		verb:past:n:perf 
.			- 			SENT_END 

			- 			SENT_START 
Склалось		скластися 		verb:rev:past:n:perf 
враження		враження 		noun:n:v_naz
,			- 			- 
що			що 			conj:subord
йому			воно 			pron:pers:3 
явно			явно 			adv 
бракує			бракувати 		verb:pres:s:3:imperf 
свіжості		свіжість 		noun:f:v_rod
.			- 			SENT_END
 
			- 			SENT_START 
Як			як 			part 
для			для 			prep:rv_rod 
пивоварні		пивоварня 		noun:f:v_rod 
якість			якість 			noun:f:v_naz 
і			і 			conj:coord 
смак			смак 			noun:m:v_naz 
пива			пиво 			noun:n:v_rod 
на			на 			prep:rv_zna 
тверду			твердий 		аdj:f:v_zna:compb 
3			3 			number 
.			- 			SENT_END
 
			- 			SENT_START 
Королівська		королівський 		adj:f:v_naz 
пивоварня		пивоварня 		noun:f:v_naz 
,			- 			- 
Старгород		- 			- 
і			і 			conj:coord 
Кумпель			- 			- 
явно			явно 			adv 
виграють		вигравати 		verb:pres:p:3:imperf
в			в 			prep:rv_mis 
цьому			цей 			pron:dem
сегменті		сегмент 		noun:m:v_mis 
.			- 			SENT_END
 
			- 			SENT_START 
А			а 			part 
от			от 			part 
квас			квас 			noun:m:v_naz
дуже			дуже 			adv 
смачний			смачний 		adj:m:v_naz:compb 
.			- 			SENT_END
 
			- 			SENT_START 
Кухня			кухня 			noun:f:v_naz 
Замовляли		замовляти 		verb:past:p:imperf 
смаколики		смаколик 		noun:p:v_zna 
до			до 			prep:rv_rod 
пива			пиво 			noun:n:v_rod 
(			- 			- 
куряча			курячий 		adj:f:v_naz 
шкірка			шкірка 			noun:f:v_naz 
засмажена		засмажений 		adjp:pasv:past:f:v_naz 
,			- 			- 
сердечка		сердечко 		noun:p:v_naz 
і			і 			conj:coord
крильця			крильце 		noun:p:v_naz 
)			- 			- 
,			- 			- 
три			три 			numr:p:v_naz 
види			вид 			noun:p:v_naz 
ковбасок		ковбаска 		noun:p:v_rod 
(			- 			- 
мюнхенські		мюнхенський 		adj:p:v_naz 
,			- 			- 
вірменські		вірменський 		adj:p:v_naz 
і			і 			conj:coord 
"			- 			- 
від			від 			prep:rv_rod 
пані			пані 			noun:f:v_rod:nv:anim 
Телічкової		- 			- 
"			- 			- 
)			- 			- 
,			- 			- 
сухарики		сухарик 		noun:p:v_naz 
житні			житній 			adj:p:v_naz 
.			- 			SENT_END 

			- 			SENT_START 
По			по 			prep:rv_dav 
ковбаскам		ковбаска 		noun:p:v_dav 
не			не 			part 
сподобалось		сподобатися 		verb:rev:past:n:perf 
,			- 			- 
що			що 			conj:subord
у			у 			prep:rv_mis 
всіх			весь 			pron:dem
трьох			три 			numr:p:v_mis 
видах			вид 			noun:p:v_mis 
абсолютно		абсолютно 		adv 
однакова		однаковий 		adj:f:v_naz 
подача			подача 			noun:f:v_naz 
,			- 			- 
підгарніровка		- 			- 
,			- 			- 
соус			соус 			noun:m:v_zna 
.			- 			SENT_END
 
			- 			SENT_START 
Найбільше		багато 			adv:super 
до			до 			prep:rv_rod 
смаку			смак 			noun:m:v_rod 
прийшлись		прийтися 		verb:rev:past:p:perf 
"			- 			- 
мюнхенські		мюнхенський 		adj:p:v_naz 
ковбаски		ковбаска 		noun:p:v_naz 
"			- 			- 
,			- 			- 
хоча			хоча 			part 
насправді		насправді 		adv 
це			- 			part
виявились		виявитися 		verb:rev:past:p:perf 
традиційні		традиційний 		adj:p:v_naz:compb 
"			- 			- 
білі			білий 			adj:p:v_naz:compb 
ковбаски		ковбаска 		noun:p:v_naz 
"			- 			- 
,			- 			- 
найменше		мало 			adv:super 
-			- 			- 
ковбаски		ковбаска 		noun:p:v_naz
від			від 			prep:rv_rod 
пані			пані 			noun:f:v_rod:nv:anim
Телічкової		- 			- 
(			- 			- 
якщо			якщо 			conj:subord 
точніше			точно 			adv:compr 
,			- 			- 
то			то 			conj:subord 
взагалі			взагалі 		adv:v-u 
не			не 			part 
сподобались		сподобатися 		verb:rev:past:p:perf 
)			- 			- 
.			- 			SENT_END 

			- 			SENT_START 
Тай			- 			- 
на			на 			part 
вигляд			вигляд 			noun:m:v_naz
вони			вони 			pron:pers:3
не			не 			part 
особливо		особливо 		adv 
смачно			смачно 			adv:compb 
виглядали		виглядати 		verb:past:p:imperf 
(			- 			- 	
може			могти 			verb:unknown 
тому			тому 			сonj:subord
так			так 			adv:&pron:dem 
темно			темно 			adv:compb 
було			бути 			verb:past:n:imperf 
)			- 			- 
.			- 			SENT_END 

			- 			SENT_START 
Смаколики		смаколик 		noun:p:v_naz 
"			- 			- 
порадували		порадувати 		verb:past:p:perf 
"			- 			- 
тільки			тільки 			adv 
своєю			свій 			pron:pos 
жирністю		жирність 		noun:f:v_oru 
.			- 			SENT_END 

			- 			SENT_START 
До			до 			prep:rv_rod 
сухариків		сухарик 		noun:p:v_rod 
жодних			жодний 			adj:p:v_rod 
претензій		претензія 		noun:p:v_rod 
.			- 			SENT_END
  
			- 			SENT_START 
Обслуговування		обслуговування 		noun:n:v_naz
Нічого			ніщо 			pron:neg 
не			не 			part 
можна			можна 			predic 
сказати			сказати 		verb:inf:perf 
:			- 			- 
начебто			начебто 		part 
непогано		непогано 		adv 
,			- 			- 
але			але 			conj:coord 
й			й 			conj:coord 
чайові			чайові 			noun:p:v_zna 
немає			немає 			predic 
за			за 			prep:rv_zna 
що			що 			conj:subord 				(pron:rel)
лишати			лишати 			verb:inf:imperf 
(			- 			- 
хоч			хоч 			part 
ми			ми 			pron:pers:1 
як			як 			part 
джентельмени		- 			- 
лишили			лишити 			verb:past:p:perf 
)			- 			- 
.			- 			SENT_END
 
			- 			SENT_START 
Беземоційно		беземоційно 		adv 
якось			якось 			adv 
.			- 			SENT_END

			- 			SENT_START 
Підсумуємо		підсумувати 		verb:futr:p:1:perf 
:			- 			- 
Пиво			пиво 			noun:n:v_naz 
раніше			раніше 			adv 
було			бути 			verb:past:n:imperf 
набагато		набагато 		adv 
краще			хороший 		adj:n:v_naz:compr 
,			- 			- 
якщо			якщо 			conj:subord 
хтось			хтось 			pron:ind 
з			з 			prep:rv_rod 
керівництва		керівництво 		noun:n:v_rod 
ХДРД			- 			- 
читає			читати 			verb:pres:s:3:imperf 
цей			цей 			pron:dem 
відгук			відгук 			noun:m:v_zna 
,			- 			- 
то			то 			conj:subord 
прийміть		прийняти 		verb:impr:p:2:perf 
якісь			якийсь 			pron:ind 
міри			міра 			noun:p:v_zna 
,			- 			- 
ви			ви 			noun:p:v_naz:anim:&pron:pers:2
ж			ж 			part 
Львівського		львівський 		adj:n:v_rod 
пива			пиво 			noun:n:v_rod 
